ID,NAME,ISO,GLOTTOLOG_NAME,GLOTTOCODE,SOURCE
A11_Londo,A11_Londo,bdu,Oroko,orok1266,45733
A121_Mbonge,A121_Mbonge,bdu,Oroko,orok1266,124722
A122_Bakundu,A122_Bakundu,bdu,Oroko,orok1266,ALGABA122Bakundu
A141_Lefo,A141_Lefo,bwt,Bafaw-Balong,bafa1247,124592
A151_Nkongho,A151_Nkongho,nkc,Nkongho,nkon1247,124592
A15A_Mbuu,A15A_Mbuu,mbo,Mbo (Cameroon),mboc1235,124592
A15B_Mienge_NW_Manenguba,A15B_Mienge_NW_Manenguba,bsi,Bassossi,bass1260,124592
A15C_Akossi,A15C_Akossi,bss,Akoose,akoo1248,124592
A15C_Elung_Central_Manenguba,A15C_Elung_Central_Manenguba,bss,Akoose,akoo1248,124592
A15C_Mkaa,A15C_Mkaa,bqz,Bakaka,baka1273,124592
A15_Manenguba,A15_Manenguba,bsi,Bassossi,bass1260,124592
A22_Bakweri,A22_Bakweri,bri,Mokpwe,mokp1239,CBOLDA22Bakweri
A24_Duala,A24_Duala,dua,Duala,dual1243,153918
A27_Malimba,A27_Malimba,mzd,Malimba,mali1280,84020
A31_Bubi,A31_Bubi,bvb,Bube,bube1242,54475
A32C_Batanga,A32C_Batanga,bnm,Batanga,bata1285,29588
A33a_Yasa,A33a_Yasa,yko,Yasa,yasa1242,319422
A34_Benga,A34_Benga,bng,Benga,beng1282,ALGABA34Benga
A41_Barombi-Kang,A41_Barombi-Kang,bbi,Barombi,baro1252,84020
A42_Abo,A42_Abo,abb,Bankon,bank1256,84020
A43a_Basaa,A43a_Basaa,bas,Basa (Cameroon),basa1284,ALGABA43aBasaa
A44_Tunen,A44_Tunen,tvu,Tunen,tune1261,99410
A45_Nyokon,A45_Nyokon,nvo,Nyokon,nyok1243,33090
A462_Yambeta,A462_Yambeta,yat,Yambeta,yamb1252,33090
A46_Nomaande,A46_Nomaande,lem,Nomaande,noma1260,Taylor2003
A51_Bafia_maja,A51_Bafia_maja,ksf,Bafia,bafi1243,29588
A53_Bafia_rikpa,A53_Bafia_rikpa,ksf,Bafia,bafi1243,142993
A54_Tibea,A54_Tibea,ngy,Tibea,tibe1274,42526
A601_Tuki,A601_Tuki,bag,Tuki,tuki1240,74679
A61_Ngoro-Asom,A61_Ngoro-Asom,bag,Tuki,tuki1240,42526
A61_Ngoro-Bisoo,A61_Ngoro-Bisoo,bag,Tuki,tuki1240,42526
A61_Ngoro-lunda,A61_Ngoro-lunda,bag,Tuki,tuki1240,42526
A621_Nubaca,A621_Nubaca,baf,Nubaca,nuba1241,42526
A622_Nugunu,A622_Nugunu,yas,Nugunu (Cameroon),nugu1242,RobinsonNugunu
A62A_Nuasue,A62A_Nuasue,yav,Yangben,yang1293,33021
A62A_Nukalonge,A62A_Nukalonge,yav,Yangben,yang1293,PaulianKalong
A62B_Mmala,A62B_Mmala,mmu,Mmaala,mmaa1238,116661
A62C_Libie,A62C_Libie,ekm,Elip,elip1238,116661
A63_Mangisa,A63_Mangisa,eto,Eton (Cameroon),eton1253,SILMangisa
A71_Eton,A71_Eton,eto,Eton (Cameroon),eton1253,26083
A72a_Ewondo,A72a_Ewondo,ewo,Ewondo,ewon1239,153533
A74a_Bulu,A74a_Bulu,bum,Bulu (Cameroon),bulu1251,45568
A75a_Fang_Bitam,A75a_Fang_Bitam,fan,Fang (Equatorial Guinea),fang1246,ALGABA75aFangBitam
A75a_Fang_Medouneu,A75a_Fang_Medouneu,fan,Fang (Equatorial Guinea),fang1246,ALGABA75aFangMedouneu
