LEXEME,REPLACEMENT,COMMENT
̍ ú̧ta,ú̧ta,stray diacritic
̍ a-hyá,a-hyá,stray diacritic
"(	(e)βwea	(		(e)wea		(Mk)	( osea		( nzea)	( 
	(eɲɛkɛ		(short tail f. of cock)	( 
etɛtɛma		(broad wing feathers of hawks)	( 
ewɔya		(small chicken f.)	( 
kaβwɛla	( kaβwela		(very small f.)	( 
mokɛka	( moleli		(tail feather of rooster)",eβwea,synonyms and newline
"baba	/ babayo	/ babaye	/ babiyehu	/ babiyenu
baba mutu : a father
ba'muʒere : father's elder brother	/ a great grandfather
ba'muhoho : father's younger brother	/ husband of mother's sister",,error
ɣ)ekoyó,(ɣ)ekoyó,Typo fix
M-puega or M-puera,M-puega,separator
mbowa (-a),mbowa,morphological information
bw-áp -́,bw-áp,typo?
zà ?,zà,doubt
mədə ?,mədə,doubt
má ?,má,doubt
Sina. Gena,sina,alternative
E-Iemi,e-ieme,capital letters
-iri(-ri?),-iri,doubt
d(èŋ,dèŋ,parentheses
è-nyìínyìè (griffe),è-nyìínyìè,comment
ɛbɔ́ɔ (main),ɛbɔ́ɔ,comment
lína [pl. mína],lína,alternative form
zólo [pl. míólo],zólo,alternative form
lɔ́posó [pl. mposó],lɔ́posó,alternative form
lɔ́lému [pl. ndému],lɔ́lému,alternative form
muka(akaa),muka,alternative form
rugoji(ngochi),rugoji,alternative form
matu(iguru),matu,alternative form
keveti(iveti),keveti,alternative form
lukwi(ngwi),lukwi,alternative form
sina(nsina),sina,alternative form
lijumbi inkhome(ugujumbi),lijumbi inkhome,alternative form
khukona itulo(kulala usingi),khukona itulo,alternative form
umugore(umukazi),umugore,alternative form
umusoβe(amasoβe),umusoβe,alternative form
ihuli(churi),ihuli,alternative form
-genda(genda),-genda,alternative form
-mwe(one,-mwe,gloss
mvua(mbua),mvua,alternative form
kitidhe(kitizie,kitidhe,alternative form
mwana(kʰele),mwana,alternative form
umwaniʃe(mwana),umwaniʃe,alternative form
ilipiʃi(lipiʃi),ilipiʃi,alternative form
olulimi(chindimi),olulimi,alterantive form
omukasi(abakasi),omukasi,alternative form
irikanda(amakanda),irikanda,alternative form
imburi(chimburi),imburi,alternative form
rikanda(amakanda),rikanda,alternative form
ororeme(chindeme),ororeme,alternative form
omokari(aβakari),omokari,alternative form
imbw#,imbw,hash sign
kwa mulung#,kwa mulung,hash sign
yeeda mahenr#,yeeda mahenr,hash sign
̌ŋkíɛ́,ŋkíɛ́,diacritic at the beginning
̍-̀he̍:nde̍,-he̍:nde̍,diacritic at the beginning
museɲu(i ?),museɲu,doubt
lukombe?(nkombe),lukombe,doubt
irɔyi ou ntsê selon Odette,irɔyi,alternative annotation
ìdúmà¹à,ìdúmà'à,OCR problem?
mnwawa pl. alwawa,mnwawa,Remove plural form
libwe pl. malibwe,libwe,Remove plural form
wá bɔ́nunú = die of old age,wá bɔ́nunú,Remove annotation
Mu.nga or Mu.gɯnɯ ?,Mu.nga,Clean form
mfulê=mvulê,mfulê,Clean form
kendi = faire marcher,kendi,Clean form
lwɛ́  ̍ à,lwɛ́̍à,fix combining character
šú or sú,šú,Remove annotation
inyigh = i-nji-ɣ,inyigh,Remove annotation
kɨ̀ɓáɓá -́,kɨ̀ɓáɓá,fix combining character
-hlanu [adj.],-hlanu,Remove annotation
-yiʃumi [rel.],-yiʃumi,Remove annotation
umonsi wane [my],umonsi wane,Remove annotation
lkuli ~ lukuli fruit,lkuli,Remove annotation
ikole fruit,ikole,Remove annotation
sóomba §not eaten,sóomba,Remove annotation
mu-sankwa	( ba-,mu-sankwa,Remove extra
ŋwana or nigini,ŋwana,Cognate refers to ŋwana
mwana or umwanike,mwana,Cognate refers to mwana
gai or bumbulu,gai,Cognate refers to mwana
kujenda ~ jendaga,kujenda,Cognate refers to kujenda
bonyua : -bonya,bonyua,Remove annotation
iyóoŋ ́dy,iyóoŋ́dy,fix combining character
koodah ~ kota,kota,Remove annotation
ìɣʉ́ ˋ,ìɣʉ́̀,fix combining character
ìsí ˋ,ìsí̀,fix combining character
ìŋṵ́ ˋ,ìŋṵ́̀,fix combining character
èlə́n ˋ,èlə́ǹ,fix combining character
ˋɡẅí ˋ,ɡ̀ẅí̀,fix combining character
dzĭ ˋ,dzĭ̀,fix combining character
kɯ̀-kùì  ̍,kɯ̀-kùì̍,fix combining character
mə́  ̍ nzɷ́,mə́̍ nzɷ́,fix combining character
mə́  ̍sìí,mə́ s̍ìí,fix combining character
-bó  ̍ o,-bó,fix combining character
biŋkusu bi  ̍ malu,biŋkusu bi̍ malu,fix combining character
-l  ̍,-l̍,fix combining character
n  ̍ gonzi,n̍ gonzi,fix combining character
-n  ̍ we,-n̍ we,fix combining character
n  ̍ hwétí,n̍ hwétí,fix combining character
ɗ-ís -̀,ɗ-ís,remove trailing dash
tɨ̀-ɓíʔ -̀,tɨ̀-ɓíʔ,remove trailing dash
kɨ̀-zɛ́n -̀,kɨ̀-zɛ́n,remove trailing dash
búl -̀,búl,remove trailing dash
rɨ̀-ɗú -̀,rɨ̀-ɗú,remove trailing dash
fy-ɛ́n -̀,fy-ɛ́n,remove trailing dash
ŋwíí -̀,ŋwíí,remove trailing dash
ŋw-óm -̀,ŋw-óm,remove trailing dash
ɗ-íí -̀,ɗ-íí,remove trailing dash
fɨ̀-ló -̀,fɨ̀-ló,remove trailing dash
mʌ̀-nɨ́ʔ -̀,mʌ̀-nɨ́ʔ,remove trailing dash
-w  ́-,-w,remove trailing dash
-y  ́-,y,remove trailing dash
-nw  ́,-nw,fix combining character
̍  ̍ júlu,j̍úlu,fix combining character
-  ́ ̍ácána,á̍cána,fix combining character
kò ́kò,kò́kò,fix combining character
gà ̀ná,gà̀ná,fix combining character
ngò ̀ndá,ngò̀ndá,fix combining character
mpì ̀mpá,mpì̀mpá,fix combining character
mù ̀ ŋguá,mù̀ ŋguá,fix combining character
ku ̀mí,kùmí,fix combining character
mà ́mbà,mà́mbà,fix combining character
ǹké ̀ntó,ǹké̀ntó,fix combining character
