Grapheme	IPA	SCA	TYPES	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
	NULL	NULL	NULL	1	U+F171	"kaɗī"	d311bila
1$	NULL	NULL	NULL	1	U+0031 U+0024	"nnyòka 1"	l31alubakasai
9$	NULL	NULL	NULL	2	U+0039 U+0024	"mbàg 9,ɲoka9"	a15cakossi,e74atuveta
?$	NULL	NULL	NULL	22	U+003F U+0024	"hyumvi?,omugi ?,zā ?"	e55kambakitu,f21ntuzu,f23sumbwa,f32nyaturuwil,f33langi,fefegrassfields,g33zaramo,g64pangwa,h31yaka,jd53shi,jd62rundi,je24kerebe,je32luyia,je403suba,je41maragoli,je45nata
…$	NULL	NULL	NULL	1	U+2026 U+0024	"omutom…"	je12rutooro
(ˀ)	NULL	NULL	NULL	1	U+0028 U+02C0 U+0029	"-kwà(ˀ)al"	a15cmkaa
-́$	NULL	NULL	NULL	5	U+002D U+0301 U+0024	"béé -́,bɔ́ŋ -́,m-ɛ́ɛ́ -́"	a53bafiarikpa,d28holoholo
15$	NULL	NULL	NULL	2	U+0031 U+0035 U+0024	"-badika 15,-pòna 15"	l31alubakasai
!	+	_	Marker	3	U+0021	"lí !,má!pə́ə́,nú !"	a15bmiengenwmanenguba,zaambojarawan
'	ʔ	H	Consonant	104	U+0027	"Kih'ɯ,d-eyg',ib'oko"	a15ambuu,a15bmiengenwmanenguba,a15cakossi,a15celungcentralmanenguba,a15cmkaa,a15manenguba,a24duala,a54tibea,a74abulu,a841badwe,a84njem,b501wanzie,c52soko1919,c54turumba1919,d23kibirakumu1919,d304homa1919,e55kambakitu,e55kambamach,f22nyamwezi,g32doe,g66wanji,h16flaadi,jd66kiha,je11runyoro,je41maragoli,l11pende,m11pimbwe,m25safwa,n14mpoto,p14ngindo,p31emakhua,s16kalanga,s44ndebele
+	+	_	Marker	3	U+002B	"khaangu + thaangu,msenga +,nsuni + mbisi"	f22nyamwezi,h16hkinkanu2012
-	+	_	Marker	6568	U+002D	"-tó-,-zaab-,ò-mbɔk"	a11londo,a141lefo,a151nkongho,a15ambuu,a15bmiengenwmanenguba,a15cakossi,a15celungcentralmanenguba,a15cmkaa,a15manenguba,a31bubi,a32cbatanga,a34benga,a42abo,a43abasaa,a44tunen,a45nyokon,a462yambeta,a46nomaande,a51bafiamaja,a53bafiarikpa,a54tibea,a601tuki,a61ngoroasom,a61ngorobisoo,a61ngorolunda,a621nubaca,a622nugunu,a62anuasue,a62anukalonge,a62bmmala,a62clibie,a63mangisa,a71eton,a72aewondo,a75afangbitam,a75afangmedouneu,a75afangminvoul,a803shiwa,a832bekol,a86cmpiemo,a91kwakum,a93kako,b11ampongwe,b11borungu,b11cgalwa,b201ndasa,b202sigu,b203samaye,b204ndambomoli,b204ndambomomassoukou,b204ndambomombadi,b21seki,b22akele,b22bkoya,b23mbangwe,b24wumbvu,b251shake,b252mahongwe,b25kota,b301viya,b302himba,b304pinzi,b305vove,b31tsogo,b32kande,b404ngubi,b41shira,b42sangumb,b42sangumi,b43punu,b44lumbu,b501wanzie,b501wanzimo,b51duma,b51dumala,b52nzebi,b53tsaangipoungi,b601lempini,b602kaninginord,b602kaningisud,b62mbaama,b63ndumu,b701atsitsege,b71aibtekeibalicongo,b71atekedj,b71atekeos,b77bfumu,b78wuumu,b81tiene,b82buma,b84mbunda,b85dnsongo,b85emput,b85yanzi,b861ngul,b862lwel,b863pindi,b865nzadi,b86dinga,b86dzing,c104aka,c105mbenga,c142mondongo,c24koyo,c25mboshi,c322zamba,c323mpama,c32bobangi,c36dlingala,c36gmosange,c401babati1919,c412libobi,c41ngombe,c43abaati,c44bwa,c52soko,c52soko1919,c54turumba1919,c55lokele,c61ekonda,c61mongo,c71tetela,c76ombo,c81dengese,c83bushong,c85wongo,d11mbole,d12lengola,d13metoko,d14enya,d201liko,d20bvamba1919,d211kango,d21baali,d23kibirakumu1919,d24songola,d25lega,d28holoholo,d304homa1919,d305nyangali,d308bodo2,d308ebodo,d311bila,d313mbuttu1919,d32bira,d32birabunia,d333ndaaka,d334mbo,d33nyali,d43nyanga,d55buyu,e46sonjo,e51kikuyu,e52embu,e52mbeere,e531muthambi,e531mwimbi,e53igoji,e53imenti,e53meru,e53meruimenti,e53merutig,e53miutini,e53tigania,e55kamba,e55kambakitu,e55kambamach,e56daiso,e621bmachame,e621csiha,e621dkibosho,e622akimochi,e622clema,e622cmamba,e622cvunjo,e623akiseri,e623dkeni,e623mkuu,e64kahe,e65gweno,e74atuveta,f12bende,f21ntuzu,f21sukuma,f22nyamwezi,f23sumbwa,f24kimbu,f25bungu,f31nyiramba,f32nyaturucha,f32nyaturuwil,f33langi,fefegrassfields,g11gogo,g12kagulu,g22anorthpare,g22bsouthpare,g24bondei,g31zigua,g32doe,g32kwere,g33zaramo,g34nguungulu,g35luguru,g36kami,g37kutu,g39saghala,g44angazija,g44bndzwani,g44dmaore,g51pogoro,g52ndamba,g61sangu,g62hehe,g63bena,g64pangwa,g65kinga,g66wanji,h11beembe,h12civilicongo,h131kisundicongokimongo1988,h13kikunyi1989,h16akisikongo2013,h16bkindibu2013,h16cilinji,h16cimbala,h16cizobe,h16ckiyombedrc1982,h16cyombe,h16flaadi,h16hkinkanu2012,h16kimbatangidinga,h16kimbeko,h21akimbundu,h31yaka,h321soonde,h32suku,h41mbala,h42hunganna,jd53shi,jd62rundi,jd64shubi,jd65hangaza,jd66kiha,jd67kivinza,je11runyoro,je12rutooro,je13runyankore,je14rukiga,je15luganda,je16lusoga,je17gwere,je21runyambo,je22haya,je23zinza,je25jita,je25kilegi,je25mkwaya,je31cbukusu,je31lumasaaba,je32luyia,je34samialugwe,je401ngoreme,je402ikizu,je403suba,je404shasi,je41maragoli,je42gusii,je43kuria,je43kuriatari,je44zanaki,k11ciokwe,k14lwena,k15mbunda,k21lozi,k31luyana,k33kwangali,komgrassfields,l11pende,l12bholu,l13kwese,l221lwalwa,l23songe,l31alubakasai,l32kanyok,l33lubashaba,l34hemba,l35sanga,l41kaonde,l51salampasu,l52lunda,l53runda,l62nkoya,m11pimbwe,m12lungwa,m13fipa,m14rungu,m15mambwe,m21ndali,m21wanda,m22namwanga,m23nyiha,m24malila,m28lambya,m31nyakyusa,m41taabwa,m42bemba,m52lala,m54lamba,m61lenje,m62soli,m64tonga,mbulajarawan,n11manda,n12ngoni,n13matengo,n14mpoto,n21tumbukamalawi,n31chewa,n42kunda,p11ndengeleko,p12rufiji,p13matumbi,p14ngindo,p15mbunga,p21yao,p22mwera,p23simakonde,p25mabia,p31emakhua,p31gikorovere,r21kwanyama,r22ndonga,r31herero,s11shona,s16kalanga,s21venda,s31tswana,s41xhosa,s42zulu,s44ndebele,s51tshwa,s53tsonga,tivtivoid,zaambojarawan
1	l	L	Consonant	2	U+0031	"-1isi,nsɛ́t1e"	c323mpama,h16ckiyombedrc1982
B	B/b	P	Consonant	1	U+0042	"mBVúlà"	h16flaadi
E	ɛ	E	Vowel	6	U+0045	"-bElE,masE,ndEla"	p13matumbi,p14ngindo
I	ɪ	I	Vowel	26	U+0049	"mhUlI,minzI,yImo"	f21ntuzu,f22nyamwezi
J	j	J	Consonant	3	U+004A	"nJàgú,nJílà,nJó"	h16flaadi
L	L/l	L	Consonant	1	U+004C	"nnzaLa"	p11ndengeleko
O	o	U	Vowel	2	U+004F	"borOkO"	s311shekgalagari
S	ʃ	S	Consonant	1	U+0053	"ma-aSi"	p31emakhua
U	ʊ	Y	Vowel	52	U+0055	"(kU)bala,(kU)bona,mbUli"	f21ntuzu,f22nyamwezi,f31nyiramba
V	V/v	B	Consonant	1	U+0056	"mBVúlà"	h16flaadi
_	+	_	Marker	14	U+005F	"ko_me,mpo_ngo_,nde_la"	g23sambaa,n11manda,n13matengo
`	ʔ	H	Consonant	10	U+0060	"-`nkì,-kwá`,`jìnà"	b85yanzi,c322zamba,c81dengese,e623mkuu,p31emakhua
a	a	A	Vowel	19657	U+0061	"u-yib-a,ŋgwan,ɛnwah"	a11londo,a121mbonge,a122bakundu,a15ambuu,a15cakossi,a15cmkaa,a15manenguba,a22bakweri,a24duala,a27malimba,a31bubi,a32cbatanga,a34benga,a43abasaa,a44tunen,a45nyokon,a462yambeta,a46nomaande,a601tuki,a61ngoroasom,a621nubaca,a622nugunu,a62anuasue,a62anukalonge,a62bmmala,a62clibie,a63mangisa,a72aewondo,a74abulu,a75afangbitam,a75afangmedouneu,a75afangminvoul,a803shiwa,a81kwasio,a83mekaa,a841badwe,a84njem,a85bbekwilmakokou,a85bbekwilmv,a87bomwali,a93kako,b11ampongwe,b11borungu,b11cgalwa,b11fenenga,b201ndasa,b202sigu,b203samaye,b204ndambomoli,b204ndambomomassoukou,b204ndambomombadi,b21seki,b22akele,b22bkoya,b22bngom,b22emwesa,b23mbangwe,b24wumbvu,b251shake,b252mahongwe,b25kota,b301viya,b302himba,b304pinzi,b305vove,b31tsogo,b32kande,b404ngubi,b41shira,b42sangumb,b42sangumi,b43punu,b44lumbu,b501wanzie,b501wanzimo,b503vili,b51duma,b51dumala,b52nzebi,b53tsaangipoungi,b601lempini,b602kaninginord,b602kaningisud,b62mbaama,b63ndumu,b701atsitsege,b71aibtekeibalicongo,b71aletekeleconi,b71atekedj,b71atekeos,b77bfumu,b78wuumu,b81tiene,b82buma,b84mbunda,b85dnsongo,b85emput,b85yanzi,b861ngul,b862lwel,b863pindi,b864ngong,b865nzadi,b86dinga,b86dzing,bamungrassfields,bilejarawan,bwazzajarawan,c101baboledz,c101baboleep,c101babolema,c104aka,c105mbenga,c141bonyala,c142mondongo,c15bongili,c21ngare,c22akwa,c24koyo,c25abunji,c25bolee,c25condinga,c25eeboyi,c25mboshi,c302bolondo,c322zamba,c323mpama,c32bobangi,c34sakata,c36dlingala,c36gmonyongo,c36gmosange,c37ebudza,c401babati1919,c401pakabete,c412libobi,c41ngombe,c42ebwela,c43abaati,c44bwa,c52soko,c52soko1919,c54turumba1919,c55lokele,c61ekonda,c61mongo,c71tetela,c76ombo,c83bushong,c85wongo,d11mbole,d12lengola,d13metoko,d14enya,d201liko,d20bvamba1919,d211kango,d21baali,d23kibirakumu1919,d25lega,d28holoholo,d304homa1919,d305nyangali,d308bodo2,d308ebodo,d311bila,d313mbuttu1919,d32bira,d32birabunia,d331bvanuma,d333ndaaka,d334mbo,d33nyali,d43nyanga,d55buyu,dugurijarawan,e46sonjo,e51kikuyu,e52embu,e52mbeere,e531muthambi,e531mwimbi,e53igoji,e53imenti,e53meru,e53meruimenti,e53merutig,e53miutini,e53tigania,e541chuka,e54tharaka,e55kamba,e55kambakitu,e55kambamach,e56daiso,e621bmachame,e621csiha,e621dkibosho,e622akimochi,e622clema,e622cmamba,e622cvunjo,e623akiseri,e623dkeni,e623mkuu,e64kahe,e65gweno,e701elwana,e71aupperpokomo,e72agiryama,e73digo,e74adawida,e74atuveta,f12bende,f21ntuzu,f21sukuma,f22nyamwezi,f23sumbwa,f24kimbu,f25bungu,f31nyiramba,f32nyaturucha,f32nyaturuwil,f33langi,fefegrassfields,g11gogo,g12kagulu,g22anorthpare,g22asu,g22bsouthpare,g23sambaa,g24bondei,g31zigua,g32doe,g32kwere,g33zaramo,g34nguungulu,g35luguru,g36kami,g37kutu,g39saghala,g401mwani,g412mwiini,g41bajuni,g42aamu,g42dunguja,g42swahili,g43kae,g44angazija,g44bndzwani,g44dmaore,g51pogoro,g52ndamba,g61sangu,g62hehe,g63bena,g64pangwa,g65kinga,g66wanji,h111hangala,h11beembe,h12civilicongo,h131kisundicongokimongo1988,h13kikunyi1989,h16akisikongo2013,h16akisolongodrc2012,h16bkindibu2013,h16cilinji,h16cimbala,h16cizobe,h16ckiyombedrc1982,h16cyombe,h16dciwoyodrc2012,h16flaadi,h16gkimpangu2012,h16gntandu,h16hkinkanu2012,h16kikongo,h16kimbatangidinga,h16kimbeko,h21akimbundu,h31yaka,h321soonde,h32suku,h41mbala,h42hunganna,jd53shi,jd62rundi,jd64shubi,jd65hangaza,jd66kiha,jd67kivinza,je11runyoro,je12rutooro,je13runyankore,je14rukiga,je15luganda,je16lusoga,je17gwere,je21runyambo,je22haya,je23zinza,je24kerebe,je25jita,je25kilegi,je25mkwaya,je31lumasaaba,je32luyia,je34samialugwe,je401ngoreme,je402ikizu,je403suba,je404shasi,je41maragoli,je42gusii,je43kuria,je43kuriamago,je43kuriatari,je44zanaki,je45nata,k11ciokwe,k14lwena,k15mbunda,k21lozi,k31luyana,k33kwangali,komgrassfields,kulungjarawan,l11pende,l12bholu,l13kwese,l221lwalwa,l23songe,l31alubakasai,l32kanyok,l33lubashaba,l34hemba,l35sanga,l41kaonde,l51salampasu,l52lunda,l53runda,l62nkoya,m11pimbwe,m12lungwa,m13fipa,m14rungu,m15mambwe,m21ndali,m21wanda,m22namwanga,m23nyiha,m24malila,m25safwa,m28lambya,m31nyakyusa,m41taabwa,m42bemba,m52lala,m54lamba,m61lenje,m62soli,m64tonga,mbulajarawan,moghamograssfields,n11manda,n12ngoni,n13matengo,n14mpoto,n21tumbukamalawi,n31chewa,n42kunda,njengrassfields,okugrassfields,p11ndengeleko,p12rufiji,p13matumbi,p14ngindo,p15mbunga,p21yao,p22mwera,p23simakonde,p25mabia,p31emakhua,p31gikorovere,r11umbundu,r21kwanyama,r22ndonga,r31herero,s11shona,s16kalanga,s21venda,s311shekgalagari,s41xhosa,s42zulu,s44ndebele,s51tshwa,s53tsonga,tivtivoid,zaambojarawan
b	b	P	Consonant	5934	U+0062	"bwendo,khumbu,kubaka"	a11londo,a121mbonge,a122bakundu,a141lefo,a151nkongho,a15ambuu,a15bmiengenwmanenguba,a15cakossi,a15celungcentralmanenguba,a15cmkaa,a15manenguba,a22bakweri,a24duala,a27malimba,a31bubi,a32cbatanga,a33ayasa,a34benga,a41barombikang,a42abo,a43abasaa,a44tunen,a45nyokon,a462yambeta,a46nomaande,a51bafiamaja,a53bafiarikpa,a54tibea,a601tuki,a61ngoroasom,a61ngorobisoo,a61ngorolunda,a621nubaca,a622nugunu,a62anuasue,a62anukalonge,a62bmmala,a62clibie,a63mangisa,a71eton,a72aewondo,a74abulu,a75afangbitam,a75afangmedouneu,a75afangminvoul,a803shiwa,a81kwasio,a832bekol,a83mekaa,a841badwe,a84njem,a85bbekwilmakokou,a85bbekwilmv,a86cmpiemo,a87bomwali,a91kwakum,a93kako,aghemgrassfields,b11ampongwe,b11borungu,b11cgalwa,b11ddyumba,b11fenenga,b201ndasa,b202sigu,b203samaye,b204ndambomoli,b204ndambomomassoukou,b204ndambomombadi,b21seki,b22akele,b22bkoya,b22bngom,b22emwesa,b23mbangwe,b24wumbvu,b251shake,b252mahongwe,b25kota,b301viya,b302himba,b304pinzi,b305vove,b31tsogo,b32kande,b404ngubi,b41shira,b42sangumb,b42sangumi,b43punu,b44lumbu,b501wanzie,b501wanzimo,b503vili,b51duma,b51dumala,b52nzebi,b53tsaangipoungi,b601lempini,b602kaninginord,b602kaningisud,b62mbaama,b63ndumu,b701atsitsege,b71aibtekeibalicongo,b71aletekeleconi,b71atekedj,b71atekeos,b77bfumu,b78wuumu,b81tiene,b82buma,b84mbunda,b85dnsongo,b85emput,b85yanzi,b861ngul,b862lwel,b863pindi,b864ngong,b865nzadi,b86dinga,b86dzing,bamungrassfields,bilejarawan,bwazzajarawan,c101baboledz,c101baboleep,c101babolema,c104aka,c105mbenga,c141bonyala,c142mondongo,c15bongili,c21ngare,c22akwa,c24koyo,c25abunji,c25bolee,c25condinga,c25eeboyi,c25mboshi,c302bolondo,c322zamba,c323mpama,c32bobangi,c34sakata,c36dlingala,c36gmonyongo,c36gmosange,c37ebudza,c401babati1919,c401pakabete,c412libobi,c41ngombe,c42ebwela,c43abaati,c44bwa,c52soko,c52soko1919,c54turumba1919,c55lokele,c61ekonda,c61mongo,c71tetela,c76ombo,c81dengese,c83bushong,c85wongo,d11mbole,d12lengola,d13metoko,d14enya,d201liko,d20bvamba1919,d211kango,d21baali,d23kibirakumu1919,d24songola,d25lega,d28holoholo,d304homa1919,d305nyangali,d308bodo2,d308ebodo,d311bila,d313mbuttu1919,d32bira,d32birabunia,d331bvanuma,d333ndaaka,d334mbo,d33nyali,d43nyanga,d55buyu,dugurijarawan,e46sonjo,e51kikuyu,e52embu,e52mbeere,e531muthambi,e531mwimbi,e53igoji,e53imenti,e53meru,e53meruimenti,e53merutig,e53miutini,e53tigania,e541chuka,e54tharaka,e55kamba,e55kambakitu,e55kambamach,e56daiso,e621bmachame,e621csiha,e621dkibosho,e622akimochi,e622clema,e622cmamba,e622cvunjo,e623akiseri,e623dkeni,e623mkuu,e64kahe,e65gweno,e701elwana,e71aupperpokomo,e72agiryama,e73digo,e74adawida,e74atuveta,f12bende,f21ntuzu,f21sukuma,f23sumbwa,f24kimbu,f25bungu,f31nyiramba,f32nyaturucha,f32nyaturuwil,f33langi,fefegrassfields,g11gogo,g12kagulu,g22anorthpare,g22asu,g22bsouthpare,g23sambaa,g24bondei,g31zigua,g32doe,g32kwere,g33zaramo,g34nguungulu,g35luguru,g36kami,g37kutu,g39saghala,g401mwani,g412mwiini,g41bajuni,g42aamu,g42dunguja,g42swahili,g43kae,g44angazija,g44bndzwani,g44dmaore,g51pogoro,g52ndamba,g61sangu,g62hehe,g63bena,g64pangwa,g65kinga,g66wanji,h111hangala,h11beembe,h12civilicongo,h131kisundicongokimongo1988,h13kikunyi1989,h16akisikongo2013,h16akisolongodrc2012,h16bkindibu2013,h16cilinji,h16cimbala,h16cizobe,h16ckiyombedrc1982,h16cyombe,h16dciwoyodrc2012,h16flaadi,h16gkimpangu2012,h16gntandu,h16hkinkanu2012,h16kikongo,h16kimbatangidinga,h16kimbeko,h21akimbundu,h31yaka,h321soonde,h32suku,h41mbala,h42hunganna,jd53shi,jd62rundi,jd64shubi,jd65hangaza,jd66kiha,jd67kivinza,je11runyoro,je12rutooro,je13runyankore,je14rukiga,je15luganda,je16lusoga,je17gwere,je21runyambo,je22haya,je23zinza,je24kerebe,je25jita,je25kilegi,je25mkwaya,je31cbukusu,je31lumasaaba,je32luyia,je34samialugwe,je401ngoreme,je402ikizu,je403suba,je404shasi,je41maragoli,je42gusii,je43kuria,je43kuriamago,je43kuriatari,je44zanaki,je45nata,k11ciokwe,k14lwena,k15mbunda,k21lozi,k31luyana,k332rumanyo,k33kwangali,komgrassfields,kulungjarawan,l11pende,l12bholu,l13kwese,l221lwalwa,l23songe,l31alubakasai,l32kanyok,l33lubashaba,l34hemba,l35sanga,l41kaonde,l51salampasu,l52lunda,l53runda,l62nkoya,m11pimbwe,m12lungwa,m13fipa,m14rungu,m15mambwe,m21ndali,m21wanda,m22namwanga,m23nyiha,m24malila,m25safwa,m28lambya,m31nyakyusa,m41taabwa,m42bemba,m52lala,m54lamba,m61lenje,m62soli,m64tonga,mbulajarawan,moghamograssfields,mungakagrassfields,n11manda,n12ngoni,n13matengo,n14mpoto,n21tumbukamalawi,n31chewa,n42kunda,njengrassfields,okugrassfields,p11ndengeleko,p12rufiji,p13matumbi,p14ngindo,p15mbunga,p21yao,p22mwera,p23simakonde,p25mabia,p31emakhua,p31gikorovere,r11umbundu,r21kwanyama,r22ndonga,r31herero,s11shona,s16kalanga,s21venda,s311shekgalagari,s31tswana,s41xhosa,s42zulu,s44ndebele,s51tshwa,s53tsonga,tivtivoid,zaambojarawan
c	c	C	Consonant	768	U+0063	"i-chinama,ícə,ǹcù"	a11londo,a122bakundu,a15cakossi,a31bubi,a46nomaande,a51bafiamaja,a53bafiarikpa,a54tibea,a601tuki,a61ngoroasom,a61ngorolunda,a622nugunu,a62anuasue,a71eton,a74abulu,a81kwasio,a832bekol,a83mekaa,a841badwe,a84njem,a86cmpiemo,a91kwakum,b305vove,b501wanzie,b82buma,b861ngul,b862lwel,c105mbenga,c141bonyala,c21ngare,c22akwa,c25abunji,c25bolee,c25condinga,c25eeboyi,c32bobangi,c37ebudza,c41ngombe,c54turumba1919,c55lokele,c71tetela,c76ombo,c81dengese,c83bushong,c85wongo,d11mbole,d14enya,d24songola,d305nyangali,d308bodo2,d313mbuttu1919,d333ndaaka,d334mbo,d33nyali,d43nyanga,d55buyu,e51kikuyu,e52embu,e52mbeere,e531muthambi,e531mwimbi,e53igoji,e53imenti,e53meruimenti,e53merutig,e53miutini,e53tigania,e541chuka,e54tharaka,e56daiso,e621dkibosho,e622akimochi,e622clema,e622cmamba,e622cvunjo,e623akiseri,e623dkeni,e64kahe,e65gweno,e73digo,e74adawida,e74atuveta,f21ntuzu,f21sukuma,f22nyamwezi,f24kimbu,f25bungu,f32nyaturucha,f32nyaturuwil,f33langi,fefegrassfields,g11gogo,g12kagulu,g22bsouthpare,g23sambaa,g24bondei,g31zigua,g32doe,g32kwere,g33zaramo,g34nguungulu,g35luguru,g36kami,g37kutu,g412mwiini,g42swahili,g52ndamba,g62hehe,g64pangwa,h11beembe,h16akisikongo2013,h16akisolongodrc2012,h16cilinji,h16cimbala,h16dciwoyodrc2012,jd53shi,jd62rundi,jd64shubi,jd65hangaza,jd66kiha,jd67kivinza,je11runyoro,je12rutooro,je13runyankore,je14rukiga,je16lusoga,je17gwere,je21runyambo,je22haya,je23zinza,je24kerebe,je25jita,je25kilegi,je32luyia,je34samialugwe,je401ngoreme,je402ikizu,je404shasi,je41maragoli,je42gusii,je43kuria,je43kuriamago,je43kuriatari,je44zanaki,je45nata,k11ciokwe,k14lwena,k15mbunda,k21lozi,k31luyana,l11pende,l13kwese,l221lwalwa,l31alubakasai,l32kanyok,l34hemba,l41kaonde,l52lunda,l53runda,l62nkoya,m11pimbwe,m12lungwa,m13fipa,m14rungu,m15mambwe,m21ndali,m21wanda,m22namwanga,m28lambya,m41taabwa,m42bemba,m52lala,m54lamba,m61lenje,m62soli,m64tonga,moghamograssfields,mungakagrassfields,n11manda,n14mpoto,n21tumbukamalawi,n31chewa,n42kunda,p14ngindo,p15mbunga,p21yao,p23simakonde,p25mabia,p31emakhua,p31gikorovere,r11umbundu,s11shona,s16kalanga,s41xhosa,s42zulu,s44ndebele,s51tshwa,s53tsonga,tivtivoid
