Grapheme	IPA	SCA	TYPES	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
(	NULL	NULL	NULL	500	U+0028	"(gi)-nswaro,(k)óóvámíná,(ko)oma"	a15ambuu,a15manenguba,a24duala,a51bafiamaja,a54tibea,a61ngoroasom,a621nubaca,a62anukalonge,a62bmmala,a62clibie,b11borungu,b11fenenga,b204ndambomoli,b204ndambomomassoukou,b85dnsongo,bwazzajarawan,c25condinga,c25mboshi,c41ngombe,c43abaati,c44bwa,c61mongo,c76ombo,c83bushong,c85wongo,d201liko,d211kango,d21baali,d25lega,d28holoholo,d308ebodo,d32birabunia,d55buyu,dugurijarawan,e46sonjo,e52mbeere,e531muthambi,e531mwimbi,e53igoji,e53imenti,e53meruimenti,e53merutig,e53miutini,e54tharaka,e55kamba,e55kambamach,e56daiso,e621csiha,e621dkibosho,e623mkuu,e64kahe,e65gweno,e701elwana,e73digo,e74atuveta,f21ntuzu,f21sukuma,f22nyamwezi,f23sumbwa,f25bungu,f31nyiramba,f32nyaturuwil,f33langi,fefegrassfields,g12kagulu,g22anorthpare,g22bsouthpare,g23sambaa,g31zigua,g32doe,g33zaramo,g34nguungulu,g35luguru,g37kutu,g401mwani,g43kae,g44angazija,g44bndzwani,g51pogoro,g52ndamba,g61sangu,g62hehe,g63bena,g64pangwa,g66wanji,h11beembe,h16akisolongodrc2012,h16bkindibu2013,h16cimbala,h16dciwoyodrc2012,h16gkimpangu2012,jd62rundi,jd64shubi,jd65hangaza,jd66kiha,je12rutooro,je15luganda,je16lusoga,je21runyambo,je22haya,je23zinza,je25jita,je25kilegi,je25mkwaya,je41maragoli,je43kuria,je43kuriatari,l12bholu,l221lwalwa,l31alubakasai,m21wanda,m54lamba,mbulajarawan,n11manda,n12ngoni,n13matengo,n21tumbukamalawi,p11ndengeleko,p31emakhua,p31gikorovere,s42zulu,s51tshwa,s53tsonga
)	NULL	NULL	NULL	497	U+0029	"(kú)-pa,(kú)-zúwa,nt(h)embu"	a15manenguba,a24duala,a51bafiamaja,a54tibea,a61ngoroasom,a621nubaca,a62anukalonge,a62bmmala,a62clibie,b11borungu,b11fenenga,b204ndambomoli,b204ndambomomassoukou,b85dnsongo,bwazzajarawan,c25condinga,c25mboshi,c41ngombe,c43abaati,c44bwa,c61mongo,c76ombo,c83bushong,c85wongo,d201liko,d211kango,d21baali,d25lega,d28holoholo,d308ebodo,d32birabunia,d55buyu,dugurijarawan,e46sonjo,e52mbeere,e531muthambi,e531mwimbi,e53igoji,e53imenti,e53meruimenti,e53merutig,e53miutini,e54tharaka,e55kamba,e55kambamach,e56daiso,e621csiha,e621dkibosho,e623mkuu,e64kahe,e65gweno,e701elwana,e73digo,e74atuveta,f21ntuzu,f21sukuma,f22nyamwezi,f23sumbwa,f25bungu,f31nyiramba,f32nyaturuwil,f33langi,fefegrassfields,g12kagulu,g22anorthpare,g22bsouthpare,g23sambaa,g31zigua,g32doe,g33zaramo,g34nguungulu,g35luguru,g37kutu,g401mwani,g43kae,g44angazija,g44bndzwani,g51pogoro,g52ndamba,g61sangu,g62hehe,g63bena,g64pangwa,g66wanji,h11beembe,h16akisolongodrc2012,h16bkindibu2013,h16cimbala,h16dciwoyodrc2012,h16gkimpangu2012,jd62rundi,jd64shubi,jd65hangaza,jd66kiha,je12rutooro,je15luganda,je16lusoga,je21runyambo,je22haya,je23zinza,je25jita,je25kilegi,je25mkwaya,je41maragoli,je43kuria,je43kuriatari,l12bholu,l221lwalwa,l31alubakasai,m21wanda,m54lamba,mbulajarawan,n11manda,n12ngoni,n13matengo,n21tumbukamalawi,p11ndengeleko,p31emakhua,p31gikorovere,s42zulu,s51tshwa,s53tsonga
*	NULL	NULL	NULL	28	U+002A	"ir*uma,iɲov*e,ziv*ili"	e621bmachame,e622akimochi,e622cvunjo,e623akiseri,e623mkuu,m23nyiha,m28lambya
.	NULL	NULL	NULL	38	U+002E	"Mo.i,m-òt . kâ,ma.mpa.ta"	a61ngoroasom,a61ngorobisoo,a62anukalonge,a62bmmala,a62clibie,b21seki,c105mbenga,c32bobangi,c401babati1919,c54turumba1919,d20bvamba1919,d23kibirakumu1919,d304homa1919,d313mbuttu1919,je31cbukusu,je42gusii,je45nata
[	NULL	NULL	NULL	10	U+005B	"lína [pl. mína],lɔ́posó [pl. mposó],m[d]rí"	b85yanzi,c32bobangi,g44angazija,je404shasi,je44zanaki
]	NULL	NULL	NULL	10	U+005D	"lɔ́lému [pl. ndému],m[d]rí,ḿ[d]ro"	b85yanzi,c32bobangi,g44angazija,je404shasi,je44zanaki
	NULL	NULL	NULL	5	U+0090	"liakálá,looli,mù̧kú̧wà"	d12lengola,d14enya,h131kisundicongokimongo1988
¬	NULL	NULL	NULL	3	U+00AC	"-ji¬u wa mutondy,-twu¬,-zu¬"	l51salampasu
ʼ	NULL	NULL	NULL	6	U+02BC	"ekoʼlo,ivʼi,mʼhʊlɩ"	a841badwe,a84njem,b861ngul,f22nyamwezi
˚	NULL	NULL	NULL	13	U+02DA	"fìnjòŋ˚,fʉ̀t˚,ŋkìɛ˚"	bamungrassfields,fefegrassfields,njengrassfields
