ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Family,Source
a62clibie,A62C_Libie,elip1238,Elip,ekm,,,116661
a63mangisa,A63_Mangisa,eton1253,Eton (Cameroon),eto,,,SILMangisa
a71eton,A71_Eton,eton1253,Eton (Cameroon),eto,,,26083
a72aewondo,A72a_Ewondo,ewon1239,Ewondo,ewo,,,153533
a74abulu,A74a_Bulu,bulu1251,Bulu (Cameroon),bum,,,45568
a75afangbitam,A75a_Fang_Bitam,fang1246,Fang (Equatorial Guinea),fan,,,ALGABA75aFangBitam
a75afangmedouneu,A75a_Fang_Medouneu,fang1246,Fang (Equatorial Guinea),fan,,,ALGABA75aFangMedouneu
a75afangminvoul,A75a_Fang_Minvoul,fang1246,Fang (Equatorial Guinea),fan,,,ALGABA75aFangMinvoul
a803shiwa,A803_Shiwa,shiw1234,Shiwa,,,,ALGABA803Shiwa
a81kwasio,A81_Kwasio,kwas1243,Kwasio,nmg,,,ALGABA81Kwasio
a832bekol,A832_Bekol,kolc1235,Kol (Cameroon),biw,,,132350
a83mekaa,A83_Mekaa,maka1304,Makaa,mcp,,,ALGABA83Mekaa
a841badwe,A841_Badwe,koon1245,Koonzime,ozm,,,Beavon2000
a84njem,A84_Njem,njye1238,Njyem,njy,,,Beavon1996
a85bbekwilmakokou,A85b_Bekwil_Makokou,bekw1242,Bekwil,bkw,,,ALGABA85bBekwilMakokou
a85bbekwilmv,A85b_Bekwil_Mv,bekw1242,Bekwil,bkw,,,ALGABA85bBekwilMv
a86cmpiemo,A86c_Mpiemo,mpie1238,Mpiemo,mcx,,,CBOLDA86cMpiemo
a87bomwali,A87_Bomwali,pomo1271,Pomo,pmm,,,29588
a91kwakum,A91_Kwakum,kwak1266,Kwakum,kwu,,,Belliard2007
a93kako,A93_Kako,kako1242,Kako,kkj,,,42305
aghemgrassfields,Aghem_Grassfields,aghe1239,Aghem,agq,,,ALGABAghemGrassfields
b11ampongwe,B11a_Mpongwe,myen1241,Myene,mye,,,ALGABB11aMpongwe
b11borungu,B11b_Orungu,myen1241,Myene,mye,,,ALGABB11bOrungu
b11cgalwa,B11c_Galwa,myen1241,Myene,mye,,,ALGABB11cGalwa
b11ddyumba,B11d_Dyumba,myen1241,Myene,mye,,,ALGABB11dDyumba
b11fenenga,B11F_Enenga,myen1241,Myene,mye,,,ALGABB11FEnenga
b201ndasa,B201_Ndasa,ndas1238,Ndasa,nda,,,ALGABB201Ndasa
b202sigu,B202_Sigu,sigh1238,Sighu,sxe,,,317977
b203samaye,B203_Samaye,osam1235,Osamayi,syx,,,163461
b204ndambomoli,B204_Ndambomo_Li,ndam1254,Ndambomo,nxo,,,ALGABB204NdambomoLi
b204ndambomomassoukou,B204_Ndambomo_Massoukou,ndam1254,Ndambomo,nxo,,,ALGABB204NdambomoMassoukou
b204ndambomombadi,B204_Ndambomo_Mbadi,ndam1254,Ndambomo,nxo,,,ALGABB204NdambomoMbadi
b21seki,B21_Seki,seki1238,Seki,syi,,,ALGABB21Seki
b22akele,B22a_Kele,kele1257,Kélé,keb,,,ALGABB22aKele
b22bkoya,B22b_Koya,ngom1270,Ngom,nra,,,ALGABB22bKoya
b22bngom,B22b_Ngom,ngom1270,Ngom,nra,,,ALGABB22bNgom
b22emwesa,B22E_Mwesa,mwes1234,Mwesa,,,,ALGABB22EMwesa
b23mbangwe,B23_Mbangwe,mban1268,Mbangwe,zmn,,,ALGABB23Mbangwe
b24wumbvu,B24_Wumbvu,wumb1242,Wumbvu,wum,,,ALGABB24Wumbvu
b251shake,B251_Shake,sake1247,Sake,sak,,,ALGABB251Shake
b252mahongwe,B252_Mahongwe,maho1248,Mahongwe,mhb,,,ALGABB252Mahongwe
b25kota,B25_Kota,kota1274,Kota (Gabon),koq,,,ALGABB25Kota
b301viya,B301_Viya,eviy1235,Viya,gev,,,ALGABB301Viya
b302himba,B302_Himba,simb1254,Simba,sbw,,,ALGABB302Himba
b304pinzi,B304_Pinzi,pinj1243,Pinji,pic,,,ALGABB304Pinzi
b305vove,B305_Vove,bubi1250,Bubi,buw,,,ALGABB305Vove
b31tsogo,B31_Tsogo,tsog1243,Tsogo,tsv,,,ALGABB31Tsogo
b32kande,B32_Kande,kand1300,Kande,kbs,,,ALGABB32Kande
b404ngubi,B404_Ngubi,ngub1239,Ngubi,,,,ALGABB404Ngubi
b41shira,B41_Shira,sira1266,Sira,swj,,,ALGABB41Shira
b42sangumb,B42_Sangu_Mb,sang1333,Sangu (Gabon),snq,,,ALGABSanguMb
b42sangumi,B42_Sangu_Mi,sang1333,Sangu (Gabon),snq,,,ALGABSanguMi
b43punu,B43_Punu,punu1239,Punu,puu,,,ALGABB43Punu
b44lumbu,B44_Lumbu,lumb1249,Lumbu,lup,,,ALGABB44Lumbu
b501wanzie,B501_Wanzi_E,wand1266,Wandji,wdd,,,ALGABB501WanziE
b501wanzimo,B501_Wanzi_Mo,wand1266,Wandji,wdd,,,ALGABB501WanziMo
b503vili,B503_Vili,vili1239,Vili of Ngounie,,,,ALGABB503Vili
b51duma,B51_Duma,duma1253,Duma,dma,,,ALGABB51Duma
b51dumala,B51_Duma_La,duma1253,Duma,dma,,,ALGABB51DumaLa
b52nzebi,B52_Nzebi,njeb1242,Njebi,nzb,,,ALGABB52Nzebi
b53tsaangipoungi,B53_Tsaangi_Poungi,tsaa1242,Tsaangi,tsa,,,ALGABB53TsaangiPoungi
b601lempini,B601_Lempini,omba1241,Ombamba,mbm,,,ALGABB601Lempini
b602kaninginord,B602_Kaningi_Nord,kani1279,Kaningi,kzo,,,ALGABB602KaningiNord
b602kaningisud,B602_Kaningi_Sud,kani1279,Kaningi,kzo,,,ALGABB602KaningiSud
b62mbaama,B62_Mbaama,omba1241,Ombamba,mbm,,,ALGABB62Mbaama
b63ndumu,B63_Ndumu,ndum1239,Ndumu,nmd,,,ALGABB63Ndumu
b701atsitsege,B701_Atsitsege,tchi1245,Tchitchege,tck,,,ALGABB701Atsitsege
b71aibtekeibalicongo,B71aIb_Teke_Ibali_Congo,ibal1241,Ibali Teke,tek,,,ALGABB71aIbTekeIbaliCongo
b71aletekeleconi,B71aLe_Teke_Leconi,teke1275,Teke-Tege,teg,,,ALGABB71aLeTekeLeconi
b71atekedj,B71a_Teke_Dj,teke1275,Teke-Tege,teg,,,ALGABB71aTekeDj
b71atekeos,B71a_Teke_Os,teke1275,Teke-Tege,teg,,,ALGABB71aTekeOs
b77bfumu,B77b_Fumu,teke1274,Teke-Fuumu,ifm,,,29588
b78wuumu,B78_Wuumu,teke1274,Teke-Fuumu,ifm,,,29588
b81tiene,B81_Tiene,tien1242,Tiene,tii,,,133621
b82buma,B82_Buma,boma1246,Boma,boh,,,BurssensB82Buma
b84mbunda,B84_Mbunda,mpuo1241,Mpuono,zmp,,,BurssensB84Mbunda
b85dnsongo,B85d_Nsongo,song1299,Songo,soo,,,29588
b85emput,B85e_Mput,yans1239,Yansi,yns,,,BurssensB85eMput
b85yanzi,B85_Yanzi,yans1239,Yansi,yns,,,BurssensB85Yanzi
b861ngul,B861_Ngul,ngul1247,Ngul,nlo,,,BurssensB861Ngul
b862lwel,B862_Lwel,lwel1234,Lwel,,,,29588
b863pindi,B863_Pindi,song1299,Songo,soo,,,BurssensB863Pindi
b864ngong,B864_Ngong,ngon1267,Ngongo (Democratic Republic of Congo),noq,,,29588
b865nzadi,B865_Nzadi,nzad1234,Nzadi,,,,HymanNzadi
b86dinga,B86_Dinga,ding1239,Ding,diz,,,BurssensB86Dinga
b86dzing,B86_Dzing,ding1239,Ding,diz,,,29588
bamungrassfields,Bamun_Grassfields,bamu1253,Bamun,bax,,,ALGABBamun
bilejarawan,Bile_Jarawan,bile1244,Bile,bil,,,Blench2006
bwazzajarawan,Bwazza_Jarawan,mbul1260,Mbula-Bwazza,mbu,,,Blench2006
c101baboledz,C101_Babole_Dz,dibo1245,Dibole,bvx,,,Leitch1989
c101baboleep,C101_Babole_Ep,dibo1245,Dibole,bvx,,,Leitch1989
c101babolema,C101_Babole_Ma,dibo1245,Dibole,bvx,,,Leitch1989
c104aka,C104_Aka,yaka1272,Yaka (Central African Republic),axk,,,62146
c105mbenga,C105_Mbenga,yaka1272,Yaka (Central African Republic),axk,,,58506
c141bonyala,C141_Bonyala,bong1284,Bongili,bui,,,ALGABC141Bonyala
c142mondongo,C142_Mondongo,bamw1238,Bamwe,bmg,,,ALGABC142Mondongo
c15bongili,C15_Bongili,bong1284,Bongili,bui,,,29588
c21ngare,C21_Ngare,mbok1243,Mboko,mdu,,,ALGABC21Ngare
c22akwa,C22_Akwa,akwa1248,Akwa,akw,,,ALGABC22Akwa
c24koyo,C24_Koyo,koyo1242,Koyo,koh,,,CBOLDC24Koyo
c25abunji,C25A_Bunji,mbos1242,Mbosi,mdw,,,ALGABC25ABunji
c25bolee,C25B_Olee,mbos1242,Mbosi,mdw,,,ALGABC25BOlee
c25condinga,C25C_Ondinga,mbos1242,Mbosi,mdw,,,448432
c25eeboyi,C25E_Eboyi,mbos1242,Mbosi,mdw,,,ALGABC25EEboyi
c25mboshi,C25_Mboshi,mbos1242,Mbosi,mdw,,,ALGABC25Mboshi
c302bolondo,C302_Bolondo,bolo1263,Bolondo,bzm,,,ALGABC302Bolondo
c322zamba,C322_Zamba,zamb1245,Zamba,,,,29588
c323mpama,C323_Mpama,mpam1239,Mpama,,,,29588
c32bobangi,C32_Bobangi,bang1354,Bangi,bni,,,CBOLDC32Bobangi
c34sakata,C34_Sakata,saka1287,Sakata,skt,,,BurssensC34Sakata
c36dlingala,C36d_Lingala,ling1263,Lingala,lin,,,86570
c36gmonyongo,C36g_Monyongo,bamw1238,Bamwe,bmg,,,ALGABC36gMonyongo
c36gmosange,C36g_Mosange,ndol1238,Ndolo,ndl,,,ALGABC36gMosange
c37ebudza,C37_Ebudza,budz1238,Budza,bja,,,ALGABC37Ebudza
c401babati1919,C401_Babati_1919,bwaa1238,Bwa,bww,,,161489
c401pakabete,C401_Pakabete,pagi1243,Pagibete,pae,,,ALGABC401Pakabete
c412libobi,C412_Libobi,bamw1238,Bamwe,bmg,,,ALGABC412Libobi
c41ngombe,C41_Ngombe,ngom1268,Ngombe (Democratic Republic of Congo),ngc,,,Stapleton1903
c42ebwela,C42_Ebwela,bwel1238,Bwela,bwl,,,ALGABC42Ebwela
c43abaati,C43A_Baati,bwaa1238,Bwa,bww,,,ALGABC43ABaati
c44bwa,C44_Bwa,bwaa1238,Bwa,bww,,,ALGABC44Bwa
c52soko1919,C52_Soko_1919,sode1235,So (Democratic Republic of Congo),soc,,,161489
c52soko,C52_Soko,sode1235,So (Democratic Republic of Congo),soc,,,Stapleton1903
c54turumba1919,C54_Turumba_1919,lomb1260,Lombo,loo,,,161489
c55lokele,C55_Lokele,kele1255,Kele (Democratic Republic of Congo),khy,,,Stapleton1903
c61ekonda,C61E_Konda,mong1338,Mongo (Atlantic-Congo),lol,,,29588
c61mongo,C61_Mongo,mong1338,Mongo (Atlantic-Congo),lol,,,32310
c71tetela,C71_Tetela,tete1250,Tetela,tll,,,144044
c76ombo,C76_Ombo,ombo1238,Ombo,oml,,,74895
c81dengese,C81_Dengese,deng1250,Dengese,dez,,,29588
c83bushong,C83_Bushong,bush1247,Bushoong,buf,,,79525
c85wongo,C85_Wongo,wong1247,Wongo,won,,,29588
d11mbole,D11_Mbole,mbol1247,Mbole,mdq,,,29588
d12lengola,D12_Lengola,leng1258,Lengola,lej,,,29588
d13metoko,D13_Metoko,mitu1240,Mituku,zmq,,,ALGABD13Metoko
d14enya,D14_Enya,enya1247,Enya,gey,,,29588
d201liko,D201_Liko,lika1243,Lika,lik,,,ALGABD201Liko
d20bvamba1919,*D20B_Vamba_1919,amba1263,Amba (Uganda),rwm,,,161489
d211kango,D211_Kango,kang1285,Kango (Tshopo District),kzy,,,ALGABD211Kango
d21baali,D21_Baali,bali1274,Bali (Democratic Republic of Congo),bcp,,,ALGABD21Baali
d23kibirakumu1919,D23_Kibira-Kumu_1919,komo1260,Komo (Democratic Republic of Congo),kmw,,,161489
d24songola,D24_Songola,song1300,Songoora,sod,,,29588
d25lega,D25_Lega,lega1249,Lega-Shabunda,lea,,,Botne1994
d28holoholo,D28_Holoholo,holo1240,Holoholo,hoo,,,72803
d304homa1919,*D304_Homa_1919,homa1239,Homa,hom,,,161489
d305nyangali,*D305_Nyanga-li,nyan1303,Nyanga-li,nyc,,,161489
d308bodo2,*D308_Bodo2,budu1250,Budu,buu,,,161489
d308ebodo,*D308_Ebodo,budu1250,Budu,buu,,,ALGABD308Ebodo
d311bila,D311_Bila,bila1255,Bila,bip,,,ALGABD311Bila
d313mbuttu1919,D313_Mbuttu_1919,budu1250,Budu,buu,,,161489
d32bira,D32_Bira,bera1259,Bera,brf,,,ALGABD32Bira
d32birabunia,D32_Bira_Bunia,bera1259,Bera,brf,,,161489
d331bvanuma,D331_Bvanuma,vanu1242,Vanuma,vau,,,ALGABD331Bvanuma
d333ndaaka,D333_Ndaaka,ndak1241,Ndaka,ndk,,,ALGABD333Ndaaka
d334mbo,D334_Mbo,mbod1238,Mbo (Democratic Republic of Congo),zmw,,,ALGABD334Mbo
d33nyali,D33_Nyali,nyal1250,Nyali,nlj,,,29588
d43nyanga,D43_Nyanga,nyan1304,Nyanga,nyj,,,113504
d55buyu,D55_Buyu,buyu1239,Buyu,byi,,,29588
dugurijarawan,Duguri_Jarawan,dugu1249,Duguri,dbm,,,Blench2006
e46sonjo,E46_Sonjo,temi1247,Temi,soz,,,30800
e51kikuyu,E51_Kikuyu,kiku1240,Kikuyu,kik,,,30800
e52embu,E52_Embu,embu1241,Embu,ebu,,,30800
e52mbeere,E52_Mbeere,embu1241,Embu,ebu,,,30800
e531muthambi,E531_Muthambi,mwim1241,Mwimbi-Muthambi,mws,,,30800
e531mwimbi,E531_Mwimbi,mwim1241,Mwimbi-Muthambi,mws,,,30800
e53igoji,E53_Igoji,meru1245,Meru,mer,,,30800
e53imenti,E53_Imenti,meru1245,Meru,mer,,,30800
e53meruimenti,E53_Meruimenti,meru1245,Meru,mer,,,30800
e53meru,E53_Meru,meru1245,Meru,mer,,,30800
e53merutig,E53_Merutig,meru1245,Meru,mer,,,30800
e53miutini,E53_Miutini,meru1245,Meru,mer,,,30800
e53tigania,E53_Tigania,meru1245,Meru,mer,,,30800
e541chuka,E541_Chuka,chuk1274,Chuka,cuh,,,30800
e54tharaka,E54_Tharaka,thar1283,Tharaka,thk,,,30800
e55kamba,E55_Kamba,kamb1297,Kamba (Kenya),kam,,,30800
e55kambakitu,E55_Kamba_Kitu,kamb1297,Kamba (Kenya),kam,,,30800
e55kambamach,E55_Kamba_Mach,kamb1297,Kamba (Kenya),kam,,,30800
e56daiso,E56_Daiso,dhai1238,Dhaiso,dhs,,,30800
e621bmachame,E621B_Machame,mach1266,Machame,jmc,,,30800
e621csiha,E621C_Siha,mach1266,Machame,jmc,,,30800
e621dkibosho,E621D_Kibosho,mach1266,Machame,jmc,,,30800
e622akimochi,E622A_Kimochi,moch1256,Mochi,old,,,30800
e622clema,E622C_Lema,vunj1238,Vunjo,vun,,,30800
e622cmamba,E622C_Mamba,vunj1238,Vunjo,vun,,,30800
e622cvunjo,E622C_Vunjo,vunj1238,Vunjo,vun,,,30800
e623akiseri,E623A_Kiseri,romb1244,Rombo,rof,,,30800
e623dkeni,E623D_Keni,romb1244,Rombo,rof,,,30800
e623mkuu,E623_Mkuu,romb1244,Rombo,rof,,,30800
e64kahe,E64_Kahe,kahe1238,Kahe,hka,,,30800
e65gweno,E65_Gweno,gwen1239,Gweno,gwe,,,30800
e701elwana,E701_Elwana,ilwa1237,Ilwana,mlk,,,30800
e71aupperpokomo,E71A_Upper_Pokomo,poko1261,Pokomo,pkb,,,30800
e72agiryama,E72a_Giryama,giry1241,Giryama,nyf,,,30800
e73digo,E73_Digo,digo1243,Digo,dig,,,30800
e74adawida,E74a_Dawida,tait1250,Taita,dav,,,30800
e74atuveta,E74a_Tuveta,tave1240,Taveta,tvs,,,30800
f12bende,F12_Bende,bend1258,Bende,bdp,,,30800
f21ntuzu,F21_Ntuzu,suku1261,Sukuma,suk,,,30800
f21sukuma,F21_Sukuma,suku1261,Sukuma,suk,,,30800
f22nyamwezi,F22_Nyamwezi,nyam1276,Nyamwezi,nym,,,30800
f23sumbwa,F23_Sumbwa,sumb1240,Sumbwa,suw,,,30800
f24kimbu,F24_Kimbu,kimb1242,Kimbu,kiv,,,30800
f25bungu,F25_Bungu,bung1265,Bungu,wun,,,30800
f31nyiramba,F31_Nyiramba,nila1242,Nilamba,nim,,,30800
f32nyaturucha,F32_Nyaturucha,nyat1246,Nyaturu,rim,,,30800
f32nyaturuwil,F32_Nyaturuwil,nyat1246,Nyaturu,rim,,,30800
f33langi,F33_Langi,lang1320,Langi,lag,,,30800
fefegrassfields,Fefe_Grassfields,fefe1239,Fe'fe',fmp,,,ALGABFefeGrassfields
g11gogo,G11_Gogo,gogo1263,Gogo,gog,,,ALGABG11Gogo
g12kagulu,G12_Kagulu,kagu1239,Kagulu,kki,,,ALGABG12Kagulu
g22anorthpare,G22A_North_Pare,asut1235,Asu (Tanzania),asa,,,ALGABG22ANorthPare
g22asu,G22_Asu,asut1235,Asu (Tanzania),asa,,,ALGABG22Asu
g22bsouthpare,G22B_South_Pare,asut1235,Asu (Tanzania),asa,,,ALGABG22BSouthPare
g23sambaa,G23_Sambaa,sham1280,Shambala,ksb,,,30800
g24bondei,G24_Bondei,bond1247,Bondei,bou,,,30800
g31zigua,G31_Zigua,zigu1242,Zigula,ziw,,,30800
g32doe,G32_Doe,doee1238,Doe,doe,,,30800
g32kwere,G32_Kwere,kwer1261,Kwere,cwe,,,30800
g33zaramo,G33_Zaramo,zara1247,Zaramo,zaj,,,30800
g34nguungulu,G34_Nguungulu,ngul1246,Ngulu,ngp,,,30800
g35luguru,G35_Luguru,lugu1238,Luguru,ruf,,,30800
g36kami,G36_Kami,kami1256,Kami (Tanzania),kcu,,,30800
g37kutu,G37_Kutu,kutu1263,Kutu,kdc,,,30800
g39saghala,G39_Saghala,saga1256,Sagala,sbm,,,30800
g401mwani,G401_Mwani,mwan1247,Mwani,wmw,,,ALGABG401Mwani
g412mwiini,G412_Mwiini,swah1253,Swahili,swh,,,ALGABG412Mwiini
g41bajuni,G41_Bajuni,swah1253,Swahili,swh,,,ALGABG41Bajuni
g42aamu,G42a_Amu,swah1253,Swahili,swh,,,ALGABG42aAmu
g42dunguja,G42d_Unguja,swah1253,Swahili,swh,,,ALGABG42dUnguja
g42swahili,G42_Swahili,swah1253,Swahili,swh,,,ALGABG42Swahili
g43kae,G43_Kae,swah1253,Swahili,swh,,,ALGABG43Kae
g44angazija,G44a_Ngazija,ngaz1238,Ngazidja Comorian,zdj,,,ALGABG44aNgazija
g44bndzwani,G44b_Ndzwani,ndzw1235,Ndzwani Comorian,wni,,,ALGABG44bNdzwani
g44dmaore,G44D_Maore,maor1244,Maore Comorian,swb,,,ALGABG44DMaore
g51pogoro,G51_Pogoro,pogo1243,Pogolo,poy,,,30800
g52ndamba,G52_Ndamba,ndam1239,Ndamba,ndj,,,30800
g61sangu,G61_Sangu,sang1330,Sangu (Tanzania),sbp,,,30800
g62hehe,G62_Hehe,hehe1240,Hehe,heh,,,30800
g63bena,G63_Bena,bena1262,Bena (Tanzania),bez,,,30800
g64pangwa,G64_Pangwa,pang1287,Pangwa,pbr,,,30800
g65kinga,G65_Kinga,nucl1379,Nuclear Kinga,zga,,,30800
g66wanji,G66_Wanji,vwan1235,Vwanji,wbi,,,30800
h111hangala,H111_Hangala,laar1238,Laari,ldi,,,CBOLDH111Hangala
h11beembe,H11_Beembe,beem1239,Beembe,beq,,,CBOLDH11Beembe
h12civilicongo,H12_Civili_Congo,vili1238,Vili,vif,,,ALGABH12CiviliCongo
h131kisundicongokimongo1988,H131_Kisundi_Congo_Kimongo_1988,suun1239,Suundi,sdj,,,ALGABH131KisundiCongoKimongo1988
h13kikunyi1989,H13_Kikunyi_1989,kuny1238,Kunyi,njx,,,ALGABH13Kikunyi1989
h16akisikongo2013,H16a_Kisikongo_2013,sans1272,San Salvador Kongo,kwy,,,ALGABH16aKisikongo2013
h16akisolongodrc2012,H16a_Kisolongo_DRC_2012,koon1244,Koongo,kng,,,ALGABH16aKisolongoDRC2012
h16bkindibu2013,H16b_Kindibu_2013,koon1244,Koongo,kng,,,ALGABH16bKindibu2013
h16cilinji,H16_Cilinji,yomb1244,Yombe,yom,,,29588
h16cimbala,H16_Cimbala,yomb1244,Yombe,yom,,,29588
h16cizobe,H16_Cizobe,yomb1244,Yombe,yom,,,29588
h16ckiyombedrc1982,H16c_Kiyombe_DRC_1982,yomb1244,Yombe,yom,,,ALGABH16cKiyombeDRC1982
h16cyombe,H16c_Yombe,yomb1244,Yombe,yom,,,CBOLDH16cYombe
h16dciwoyodrc2012,H16d_Ciwoyo_DRC_2012,yomb1244,Yombe,yom,,,ALGABH16dCiwoyoDRC2012
h16flaadi,H16f_Laadi,laar1238,Laari,ldi,,,160312
h16gkimpangu2012,H16g_Kimpangu_2012,koon1244,Koongo,kng,,,ALGABH16gKimpangu2012
h16gntandu,H16g_Ntandu,koon1244,Koongo,kng,,,29588
h16hkinkanu2012,H16h_Kinkanu_2012,koon1244,Koongo,kng,,,ALGABH16hKinkanu2012
h16kikongo,H16_Kikongo,koon1244,Koongo,kng,,,Butaye1909
h16kimbatangidinga,H16_Kimbata_Ngidinga,koon1244,Koongo,kng,,,29588
h16kimbeko,H16_Kimbeko,koon1244,Koongo,kng,,,29588
h21akimbundu,H21a_Kimbundu,kimb1241,Kimbundu,kmb,,,ALGABH21aKimbundu
h31yaka,H31_Yaka,yaka1269,Yaka (Democratic Republic of Congo),yaf,,,Ruttenberg1969
h321soonde,H321_Soonde,sond1250,Sonde,shc,,,29588
h32suku,H32_Suku,suku1259,Suku,sub,,,29588
h41mbala,H41_Mbala,mbal1257,Mbala,mdp,,,29588
h42hunganna,H42_Hunganna,hung1278,Hungana,hum,,,29588
jd53shi,JD53_Shi,shii1238,Shi,shr,,,315062
jd62rundi,JD62_Rundi,rund1242,Rundi,run,,,30800
jd64shubi,JD64_Shubi,shub1238,Shubi,suj,,,30800
jd65hangaza,JD65_Hangaza,hang1260,Hangaza,han,,,30800
jd66kiha,JD66_Kiha,haaa1252,Ha,haq,,,30800
jd67kivinza,JD67_Kivinza,vinz1238,Vinza,vin,,,30800
je11runyoro,JE11_Runyoro,nyor1246,Nyoro,nyo,,,30800
je12rutooro,JE12_Rutooro,toor1238,Tooro,ttj,,,30800
je13runyankore,JE13_Runyankore,nyan1307,Nyankole,nyn,,,30800
je14rukiga,JE14_Rukiga,chig1238,Chiga,cgg,,,30800
je15luganda,JE15_Luganda,gand1255,Ganda,lug,,,30800
je16lusoga,JE16_Lusoga,soga1242,Soga,xog,,,30800
je17gwere,JE17_Gwere,gwer1238,Gwere,gwr,,,30800
je21runyambo,JE21_Runyambo,nyam1277,Nyambo,now,,,30800
je22haya,JE22_Haya,haya1250,Haya,hay,,,30800
je23zinza,JE23_Zinza,zinz1238,Zinza,zin,,,30800
je24kerebe,JE24_Kerebe,kere1283,Kerewe,ked,,,30800
je25jita,JE25_Jita,jita1239,Jita,jit,,,30800
je25kilegi,JE25_Kilegi,kara1481,Kara (Tanzania),reg,,,30800
je25mkwaya,JE25_Mkwaya,kway1241,Kwaya,kya,,,30800
je31cbukusu,JE31c_Bukusu,buku1249,Bukusu,bxk,,,30800
je31lumasaaba,JE31_Lumasaaba,masa1299,Masaaba,myx,,,30800
je32luyia,JE32_Luyia,saam1283,Saamia,lsm,,,30800
je34samialugwe,JE34_Samialugwe,saam1283,Saamia,lsm,,,30800
je401ngoreme,JE401_Ngoreme,ngur1263,Ngurimi,ngq,,,30800
je402ikizu,JE402_Ikizu,ikiz1238,Ikizu,ikz,,,30800
je403suba,JE403_Suba,suba1238,Suba,sxb,,,30800
je404shasi,JE404_Shasi,ikiz1238,Ikizu,ikz,,,30800
je41maragoli,JE41_Maragoli,logo1258,Logooli,rag,,,30800
je42gusii,JE42_Gusii,gusi1247,Gusii,guz,,,30800
je43kuria,JE43_Kuria,kuri1259,Kuria,kuj,,,30800
je43kuriamago,JE43_Kuria_Mago,kuri1259,Kuria,kuj,,,30800
je43kuriatari,JE43_Kuria_Tari,kuri1259,Kuria,kuj,,,30800
je44zanaki,JE44_Zanaki,zana1238,Zanaki,zak,,,30800
je45nata,JE45_Nata,ikom1245,Ikoma-Nata-Isenye,ntk,,,30800
k11ciokwe,K11_Ciokwe,chok1245,Chokwe,cjk,,,29588
k14lwena,K14_Lwena,luva1239,Luvale,lue,,,29588
k15mbunda,K15_Mbunda,mbun1249,Mbunda,mck,,,29588
k21lozi,K21_Lozi,lozi1239,Lozi,loz,,,29588
