ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Family,Source
a11londo,A11_Londo,orok1266,Oroko,bdu,,,45733
a121mbonge,A121_Mbonge,orok1266,Oroko,bdu,,,124722
a122bakundu,A122_Bakundu,orok1266,Oroko,bdu,,,ALGABA122Bakundu
a141lefo,A141_Lefo,bafa1247,Bafaw-Balong,bwt,,,124592
a151nkongho,A151_Nkongho,nkon1247,Nkongho,nkc,,,124592
a15ambuu,A15A_Mbuu,mboc1235,Mbo (Cameroon),mbo,,,124592
a15bmiengenwmanenguba,A15B_Mienge_NW_Manenguba,bass1260,Bassossi,bsi,,,124592
a15cakossi,A15C_Akossi,akoo1248,Akoose,bss,,,124592
a15celungcentralmanenguba,A15C_Elung_Central_Manenguba,akoo1248,Akoose,bss,,,124592
a15cmkaa,A15C_Mkaa,baka1273,Bakaka,bqz,,,124592
a15manenguba,A15_Manenguba,bass1260,Bassossi,bsi,,,124592
a22bakweri,A22_Bakweri,mokp1239,Mokpwe,bri,,,CBOLDA22Bakweri
a24duala,A24_Duala,dual1243,Duala,dua,,,153918
a27malimba,A27_Malimba,mali1280,Malimba,mzd,,,84020
a31bubi,A31_Bubi,bube1242,Bube,bvb,,,54475
a32cbatanga,A32C_Batanga,bata1285,Batanga,bnm,,,29588
a33ayasa,A33a_Yasa,yasa1242,Yasa,yko,,,319422
a34benga,A34_Benga,beng1282,Benga,bng,,,ALGABA34Benga
a41barombikang,A41_Barombi-Kang,baro1252,Barombi,bbi,,,84020
a42abo,A42_Abo,bank1256,Bankon,abb,,,84020
a43abasaa,A43a_Basaa,basa1284,Basa (Cameroon),bas,,,ALGABA43aBasaa
a44tunen,A44_Tunen,tune1261,Tunen,tvu,,,99410
a45nyokon,A45_Nyokon,nyok1243,Nyokon,nvo,,,33090
a462yambeta,A462_Yambeta,yamb1252,Yambeta,yat,,,33090
a46nomaande,A46_Nomaande,noma1260,Nomaande,lem,,,Taylor2003
a51bafiamaja,A51_Bafia_maja,bafi1243,Bafia,ksf,,,29588
a53bafiarikpa,A53_Bafia_rikpa,bafi1243,Bafia,ksf,,,142993
a54tibea,A54_Tibea,tibe1274,Tibea,ngy,,,42526
a601tuki,A601_Tuki,tuki1240,Tuki,bag,,,74679
a61ngoroasom,A61_Ngoro-Asom,tuki1240,Tuki,bag,,,42526
a61ngorobisoo,A61_Ngoro-Bisoo,tuki1240,Tuki,bag,,,42526
a61ngorolunda,A61_Ngoro-lunda,tuki1240,Tuki,bag,,,42526
a621nubaca,A621_Nubaca,nuba1241,Nubaca,baf,,,42526
a622nugunu,A622_Nugunu,nugu1242,Nugunu (Cameroon),yas,,,RobinsonNugunu
a62anuasue,A62A_Nuasue,yang1293,Yangben,yav,,,33021
a62anukalonge,A62A_Nukalonge,yang1293,Yangben,yav,,,PaulianKalong
a62bmmala,A62B_Mmala,mmaa1238,Mmaala,mmu,,,116661
