Words,W2,W3,W4,W5,W6,W7,W8,W9,W10,W12,W14,W15,W16,W18,W20,W22,W23,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W46,W48,W49,W50,W51,W52,W54,W55,W56,W58,W60,W61,W62,W63,W64,W65,W66,W68,W69,W70,W72,W73,W74,W75,W76,W77,W78,W79,W81,W83,W84,W86,W87,W89,W90,W91,W92,W93,W94,W95,W97,W98,W99,W100,W101,W103,W105,W106,W107,W108,W109,W110,W111,W112,W113,W114,W115,W117,W119,W123,W125,W24,W59
Tiv_Tivoid,1,1,6,2,4,4,1,2,1,5,2,3,4,1,3,6,3,1,1,1,3,1,3,4,4,1,1,2,2,4,2,1,1,1,3,3,2,1,4,3,1,2,1,2,3,1,3,3,2,4,3,2,2,3,4,4,5,2,1,2,4,1,3,2,3,3,2,2,4,2,3,2,?,3,1,6,2,3,3,2,3,4,4,3,2,1,2,2,4,2,3,5,1,3,5,5,3,5,4,5
A11_Londo,1,2,1,2,5,5,2,2,2,1,3,1,4,1,4,7,2,1,1,1,3,1,3,4,2,4,4,3,3,5,3,3,2,1,4,3,3,1,5,1,2,1,1,3,1,1,4,3,3,5,1,3,3,1,5,5,1,3,4,1,5,4,4,1,2,4,1,3,5,3,1,1,5,4,2,7,1,4,1,1,4,3,5,1,3,2,1,1,1,1,3,6,2,4,2,4,4,6,5,6
A121_Mbonge,1,2,1,2,5,5,2,2,2,1,3,1,4,1,5,7,2,1,2,1,3,1,3,4,2,4,4,3,3,5,3,3,3,1,5,3,3,1,5,1,2,1,1,3,1,1,2,3,3,5,1,4,4,1,5,6,1,3,4,1,5,4,5,1,2,4,1,4,5,3,1,1,5,4,1,7,1,4,1,1,4,3,6,1,3,2,1,1,1,1,3,7,2,4,2,4,4,6,5,7
A122_Bakundu,1,2,1,2,5,5,2,2,2,1,3,1,4,1,2,8,2,1,2,1,4,1,3,4,2,4,4,3,3,6,1,4,3,1,4,3,1,1,5,1,1,1,1,3,1,1,2,3,3,6,1,4,5,1,5,5,1,3,4,1,6,4,5,1,2,4,1,1,5,3,1,1,5,4,1,7,1,4,1,1,4,3,5,1,3,2,1,1,1,1,3,7,2,4,2,4,5,6,5,8
A141_Lefo,1,2,7,3,6,1,3,2,3,1,4,1,5,1,2,9,2,1,1,2,4,1,3,4,2,4,4,4,3,7,1,1,1,1,6,3,1,1,6,1,1,1,1,1,1,1,2,3,3,5,4,4,1,1,5,1,1,1,4,1,5,4,5,1,2,4,3,1,5,3,4,1,5,4,1,8,1,4,1,3,4,3,7,1,1,2,1,1,1,1,3,6,2,4,2,4,4,6,5,8
A15_Manenguba,1,3,7,1,5,1,4,2,?,1,4,1,?,1,1,?,?,?,1,?,4,?,3,4,2,5,?,4,4,7,1,5,1,1,?,3,?,1,6,1,1,?,1,1,1,1,2,?,3,1,?,4,1,1,3,2,1,1,4,1,5,5,5,1,4,4,1,1,5,3,?,1,5,?,1,9,1,5,1,1,?,3,8,1,1,2,1,1,5,1,4,7,?,?,2,4,6,7,6,8
A15A_Mbuu,1,3,7,1,5,1,4,2,3,1,4,1,6,1,2,10,2,1,1,2,4,1,3,4,2,5,1,4,4,7,1,5,1,1,7,3,1,1,6,1,1,1,1,1,1,1,2,4,3,1,4,4,6,1,3,2,1,1,4,1,7,5,5,1,4,4,1,1,5,3,5,1,5,5,1,7,1,5,1,1,4,3,8,1,1,2,1,1,5,1,5,7,2,4,2,4,7,7,7,8
A15B_Mienge_NW_Manenguba,1,3,7,4,5,1,4,2,3,1,4,1,7,1,2,10,2,1,1,2,4,1,3,4,2,5,5,4,4,7,1,6,1,1,6,3,1,1,6,1,3,1,1,1,1,1,2,4,3,1,4,4,1,1,3,2,1,1,4,1,5,5,5,1,4,4,1,1,5,3,5,1,5,4,1,7,1,5,1,1,4,3,8,1,1,2,1,1,5,1,5,8,2,4,2,4,8,7,6,8
A15C_Elung_Central_Manenguba,1,1,7,2,7,1,4,2,3,1,4,1,4,1,2,11,4,1,1,2,3,1,3,4,2,5,1,4,4,7,1,5,1,1,6,3,1,1,6,1,1,1,1,3,1,1,2,4,3,6,4,5,1,1,3,2,1,1,4,1,5,5,5,1,4,4,1,1,5,4,1,1,5,2,1,7,1,5,1,1,4,3,8,1,1,2,1,1,1,1,5,8,2,4,2,4,7,7,7,8
A15C_Akossi,1,3,7,2,5,1,5,2,3,1,4,1,4,1,2,11,4,1,1,2,3,1,3,4,2,4,1,4,4,7,1,1,1,1,6,3,?,1,6,4,1,1,1,3,1,1,2,4,3,6,4,4,1,1,3,7,1,1,4,1,7,5,5,1,2,4,1,1,5,4,1,1,5,4,1,7,1,4,1,1,4,3,9,1,1,2,1,1,1,1,5,9,2,4,6,4,7,7,7,8
A15C_Mkaa,1,3,7,5,5,1,5,2,3,1,4,1,4,1,2,8,4,1,1,2,3,1,3,4,2,4,1,4,4,7,1,1,3,1,6,3,1,1,6,4,1,1,1,1,1,1,2,4,3,5,4,4,1,1,3,7,1,1,4,1,7,5,5,1,2,4,1,1,5,4,5,1,5,2,1,10,1,4,1,1,4,3,10,1,1,2,1,1,1,1,5,1,2,4,6,4,7,7,7,8
A151_Nkongho,1,3,7,2,8,6,6,2,3,1,4,1,8,1,2,9,2,1,3,1,3,3,3,4,2,6,6,4,4,7,1,7,1,1,6,3,1,1,6,1,4,1,3,1,1,1,2,4,3,1,4,4,1,1,3,8,6,1,4,1,5,5,5,1,2,1,1,1,5,3,6,1,5,5,1,7,1,1,1,1,4,3,11,1,1,2,1,1,6,1,6,7,2,4,2,4,9,8,7,8
A22_Bakweri,1,1,1,1,5,7,7,2,3,1,3,1,9,1,2,8,2,1,2,1,3,1,4,4,2,4,7,5,3,6,4,3,1,1,4,4,3,1,2,5,2,3,1,4,1,1,2,3,3,7,4,4,4,1,5,2,1,3,4,1,5,4,6,1,2,4,1,?,5,3,1,1,6,2,1,7,1,4,5,1,?,3,5,1,1,2,1,1,1,1,3,?,2,4,6,4,?,6,?,8
A24_Duala,1,4,8,1,5,1,7,2,3,1,3,1,10,1,6,7,2,1,1,1,4,1,4,4,2,4,1,4,3,7,3,8,1,1,6,4,4,1,2,1,2,4,1,1,1,1,?,3,3,5,4,4,2,1,5,7,5,4,4,3,7,4,6,1,2,4,1,1,6,5,1,1,5,6,1,7,1,4,5,1,4,3,12,1,1,2,1,1,1,1,5,10,2,5,2,4,4,9,8,8
A27_Malimba,1,5,8,1,?,8,?,2,3,1,3,1,10,1,6,7,5,1,1,1,4,1,3,4,2,?,1,4,5,7,3,8,1,1,8,4,4,1,2,1,2,4,?,1,4,1,4,3,?,5,4,4,1,?,5,9,5,4,4,3,6,4,6,1,2,4,1,1,6,5,1,1,?,6,1,11,?,4,5,3,4,?,12,1,1,2,1,1,1,1,3,?,3,5,7,4,7,9,8,8
A31_Bubi,1,1,9,?,9,5,8,2,4,6,2,1,?,?,7,7,6,2,1,3,3,1,3,?,5,4,1,6,6,7,5,?,1,?,9,?,1,4,6,4,3,5,1,5,?,1,5,3,2,8,5,6,1,4,6,?,5,5,4,4,7,6,7,3,2,4,4,1,7,6,1,3,5,7,3,12,1,6,1,?,4,3,13,4,?,?,3,3,?,1,3,?,3,6,2,6,7,7,?,?
A32C_Batanga,2,6,1,6,?,9,7,2,5,1,3,1,10,?,6,8,?,1,1,1,4,1,3,?,2,?,?,4,7,7,3,?,1,?,8,?,1,?,2,6,1,5,1,1,?,?,?,3,3,?,4,4,7,5,5,2,1,4,4,?,5,4,6,1,2,4,1,1,?,7,1,?,?,?,1,?,1,4,?,?,?,3,12,5,?,?,1,1,1,1,?,?,?,5,?,4,?,9,?,?
A33a_Yasa,1,1,1,2,1,1,9,2,3,1,3,1,10,1,6,8,2,1,1,1,3,1,3,4,2,?,1,4,8,7,3,8,1,1,8,4,5,5,2,?,1,1,1,1,5,1,?,3,?,9,6,4,1,1,5,2,1,4,4,3,5,4,5,1,2,4,5,5,6,7,5,1,5,2,1,7,1,4,1,1,4,3,12,6,1,2,1,1,7,1,?,7,4,6,8,4,7,9,9,8
A34_Benga,2,6,1,7,1,9,7,2,5,1,3,1,10,1,6,8,?,1,1,1,3,1,3,4,2,7,?,4,7,7,3,?,4,?,8,?,1,1,2,6,1,1,1,4,1,1,2,3,3,10,7,4,7,5,5,2,1,4,4,3,5,4,5,1,2,4,1,5,6,4,1,?,5,?,1,13,1,4,6,1,?,3,5,5,?,?,1,1,1,1,5,7,?,6,8,4,7,9,10,8
A41_Barombi-Kang,2,2,10,8,?,1,?,2,3,1,3,1,11,2,?,12,5,?,1,1,5,1,3,4,2,?,1,4,3,7,3,8,5,1,7,4,6,6,2,4,1,1,?,1,1,1,2,3,?,5,1,7,1,?,7,2,3,4,5,5,7,3,5,4,2,5,1,6,5,4,1,4,?,6,4,7,?,4,1,1,4,?,14,1,1,2,1,1,8,1,5,?,2,4,9,4,7,10,6,8
A42_Abo,2,3,10,2,?,1,7,2,3,1,3,1,10,1,6,12,5,1,1,1,5,1,3,4,2,?,1,4,3,7,3,8,5,1,7,4,6,6,2,4,1,1,1,1,1,1,2,3,3,5,1,7,1,5,7,2,5,4,5,3,7,3,5,4,2,5,1,1,5,5,1,1,?,6,4,7,1,4,1,1,4,2,14,1,1,2,1,1,8,1,5,1,2,4,2,4,7,10,8,8
A43a_Basaa,2,1,1,7,10,1,10,2,3,1,3,1,10,1,8,13,2,1,4,1,3,1,3,4,2,4,1,4,3,8,3,8,6,1,3,4,1,6,2,1,1,1,1,1,1,1,2,3,3,11,1,4,1,1,7,2,3,6,5,5,7,4,5,1,2,5,1,1,8,4,1,1,5,8,1,11,1,7,7,1,4,2,5,6,1,2,4,1,8,1,5,1,2,4,10,4,10,7,11,8
A44_Tunen,3,4,11,1,8,10,11,2,1,7,2,4,12,1,9,14,7,1,4,1,3,4,5,4,2,1,1,4,9,7,3,1,6,1,3,3,1,1,2,7,1,1,1,1,?,2,2,5,4,12,8,3,7,6,5,2,5,6,4,3,8,4,8,5,2,1,6,1,8,4,1,1,5,9,1,8,1,2,8,?,?,2,5,1,1,2,5,3,1,3,5,?,5,4,2,4,11,7,12,9
A45_Nyokon,3,1,12,?,?,11,12,2,1,7,2,1,?,1,?,15,?,3,5,1,1,4,3,4,2,?,1,1,?,?,6,8,7,1,?,3,7,1,?,1,1,?,1,6,6,1,?,3,?,?,9,3,1,7,7,10,5,7,4,3,6,4,5,2,2,6,6,?,3,?,7,?,?,?,1,8,?,3,1,1,?,3,15,6,?,1,1,3,9,3,?,11,6,4,2,4,12,11,?,?
A46_Nomaande,1,1,11,9,?,10,11,2,1,7,2,1,13,1,8,16,?,1,1,1,3,4,5,4,2,?,1,1,4,7,5,1,6,1,3,3,3,1,2,7,1,?,1,1,6,1,2,5,4,13,10,3,1,6,5,11,5,7,4,3,8,4,8,5,2,4,7,1,9,8,8,1,?,10,1,8,1,2,7,1,4,3,15,7,4,1,6,3,1,3,7,11,5,4,2,4,12,12,13,9
A462_Yambeta,4,1,13,?,?,12,?,1,1,7,2,4,?,1,?,17,?,1,1,1,4,4,1,4,2,?,8,1,?,?,5,1,1,1,?,3,8,1,?,7,1,?,?,1,7,1,?,5,?,?,4,?,1,?,8,11,5,8,4,6,9,1,5,1,2,4,8,1,10,?,9,?,?,?,5,8,?,8,7,1,?,3,15,8,?,1,7,3,1,1,?,12,7,4,2,4,13,13,?,?
A51_Bafia_maja,5,7,1,10,?,1,13,2,1,8,2,5,?,1,10,18,?,1,1,1,6,1,6,?,2,?,1,3,10,9,7,1,8,1,10,3,1,?,7,1,3,1,1,1,?,?,?,5,2,?,1,3,1,8,7,2,3,4,4,?,8,4,5,1,5,4,9,1,11,4,10,?,?,?,4,2,?,7,1,1,?,2,12,6,?,2,1,1,1,1,?,?,2,4,?,3,13,14,?,?
A53_Bafia_rikpa,5,7,1,7,?,1,14,3,1,8,2,1,10,1,10,18,?,1,1,1,6,1,6,4,2,5,1,3,10,9,7,1,8,1,10,3,1,1,7,1,1,1,1,1,8,1,1,3,2,?,1,3,1,8,7,12,5,4,4,7,8,4,5,1,5,4,9,1,11,4,10,?,5,?,4,2,1,7,1,1,?,2,15,6,5,2,1,3,1,1,5,11,2,4,2,4,10,14,?,10
A54_Tibea,5,8,14,1,?,6,15,2,1,1,3,1,?,2,11,12,?,1,1,1,6,1,3,?,2,?,1,3,3,?,3,9,8,1,11,3,1,7,7,1,1,1,1,1,?,1,?,3,?,?,4,3,1,9,7,2,7,6,4,7,10,7,5,1,6,7,9,1,10,4,10,?,?,?,4,7,1,9,1,1,?,5,16,6,?,3,1,1,1,1,?,13,2,4,2,4,10,15,?,?
A601_Tuki,1,1,11,2,1,1,?,2,1,9,5,1,14,1,?,19,8,1,1,1,3,4,3,4,2,4,9,1,5,10,3,1,1,1,3,3,1,1,2,8,1,1,1,1,9,?,2,5,2,12,11,3,1,10,5,7,8,7,6,3,11,4,9,5,2,4,6,1,11,9,1,1,5,11,4,8,1,2,1,4,?,3,17,9,6,1,1,3,1,1,5,11,7,7,2,7,10,16,14,11
A61_Ngoro-Asom,1,1,14,2,?,1,7,2,3,1,3,1,15,2,12,18,?,1,1,1,4,1,3,?,2,?,1,3,3,7,8,3,9,1,12,3,1,8,2,9,1,1,?,7,1,1,?,3,?,?,12,4,8,11,5,2,1,6,5,8,7,4,5,1,2,4,1,1,11,9,1,?,?,?,4,7,?,9,1,1,?,6,14,10,?,2,1,1,1,1,?,14,2,4,9,4,10,17,?,?
A61_Ngoro-Bisoo,1,1,10,?,?,1,10,2,3,1,3,1,?,1,?,18,?,1,1,1,3,1,3,?,2,?,1,4,?,?,8,9,9,1,?,4,9,9,?,10,1,?,?,1,1,1,?,3,?,?,1,?,1,11,5,2,3,6,5,5,7,4,5,1,2,1,1,?,11,?,1,?,?,?,4,7,?,9,1,1,?,2,14,6,?,2,1,1,1,1,?,15,2,4,9,4,7,9,?,?
A61_Ngoro-lunda,5,1,10,?,?,1,16,2,3,1,6,1,?,1,?,12,?,1,1,1,7,1,3,?,2,?,1,3,?,?,7,10,1,1,?,4,1,10,?,1,1,?,?,1,1,1,?,3,?,?,1,?,1,12,9,2,1,6,5,5,7,8,5,4,2,8,1,?,10,?,1,?,?,?,1,7,?,9,1,1,?,7,14,1,?,2,1,1,1,1,?,9,2,4,9,4,10,18,?,?
A62A_Nuasue,1,1,?,?,11,12,17,2,1,7,7,6,16,3,?,14,9,1,1,4,3,4,?,4,2,1,1,1,5,8,5,1,6,?,13,?,1,1,2,7,1,6,1,1,9,?,2,5,2,14,4,8,1,10,10,11,5,7,7,6,8,1,10,?,2,4,8,1,3,10,1,1,7,6,5,8,1,?,1,1,5,3,18,1,?,?,1,3,1,?,8,11,7,4,2,8,12,7,15,12
A62A_Nukalonge,5,1,11,2,12,13,18,2,1,7,7,1,13,1,8,14,9,1,1,4,3,4,3,4,2,1,1,1,11,11,5,1,6,1,13,3,1,1,2,7,1,6,1,1,9,1,2,5,2,14,8,3,1,6,10,11,5,7,7,6,8,1,10,2,2,4,8,1,3,9,1,1,5,6,1,8,1,2,1,1,5,3,18,1,7,1,1,3,1,3,8,11,7,4,2,8,14,7,15,8
A62B_Mmala,3,1,11,11,?,10,18,2,1,7,7,1,17,1,8,14,?,1,1,4,3,4,3,?,2,?,1,1,5,8,5,1,6,1,13,3,1,1,2,9,3,6,1,1,9,1,?,5,2,?,4,3,1,10,5,2,5,7,8,6,8,1,10,2,2,4,8,1,12,11,1,?,?,?,5,8,1,2,1,1,?,3,18,9,?,1,1,3,1,3,?,11,7,4,2,7,12,7,?,?
A62C_Libie,3,1,11,?,?,14,18,2,1,7,7,1,?,1,?,14,?,1,1,4,3,4,3,?,2,?,1,1,?,?,5,1,6,1,?,3,1,1,?,9,3,?,?,1,9,1,?,5,?,?,4,?,1,10,5,2,5,7,8,6,8,1,10,2,2,4,8,?,12,?,1,?,?,?,5,8,?,10,1,1,?,3,19,9,?,1,1,3,1,3,?,11,7,4,2,8,15,7,?,?
A621_Nubaca,5,1,11,?,?,15,18,2,1,10,7,1,?,1,?,20,?,1,1,4,3,4,3,4,2,?,1,1,?,?,5,1,10,1,?,3,1,1,?,7,3,?,?,1,9,3,?,5,?,?,8,?,1,6,11,2,5,7,7,6,12,1,10,1,2,4,8,?,3,?,1,?,?,?,1,8,?,2,1,1,?,3,5,11,?,1,8,3,9,3,?,11,7,4,2,8,12,7,?,?
A622_Nugunu,1,1,11,11,11,12,18,2,1,7,7,1,13,3,?,14,10,1,1,1,3,4,3,4,2,1,10,1,5,8,5,1,6,1,14,3,1,1,2,6,3,6,1,1,6,1,2,5,2,12,11,3,1,10,5,11,8,7,8,6,11,1,8,5,2,4,9,1,3,10,1,1,7,10,5,8,1,2,1,1,4,3,15,9,8,2,1,3,1,3,5,11,7,4,2,8,14,16,16,13
A63_Mangisa,2,4,14,2,5,1,7,2,3,1,3,1,10,2,5,21,2,1,1,1,3,1,3,4,2,4,1,4,12,7,8,11,9,1,13,4,1,1,2,6,1,1,1,1,1,1,2,3,3,11,11,4,1,13,5,13,9,9,5,5,7,4,2,1,2,1,1,1,5,10,1,1,5,12,1,7,1,9,1,1,4,2,14,1,1,2,1,1,1,1,9,16,2,8,2,4,10,19,17,8
Zaambo_Jarawan,1,1,10,12,?,1,7,2,1,1,8,7,16,?,13,18,?,4,6,1,1,1,3,?,2,?,?,7,10,12,9,?,1,2,15,4,1,?,8,1,1,1,4,8,?,?,?,3,5,?,8,9,9,1,12,14,3,6,9,?,8,1,11,6,7,4,1,1,?,10,11,?,?,?,1,?,1,11,?,?,?,3,20,6,9,1,9,3,10,4,?,?,?,4,?,9,?,20,?,?
Bwazza_Jarawan,1,1,11,12,?,1,2,2,1,1,8,7,16,?,13,18,?,1,1,1,1,1,3,?,2,?,?,7,10,12,9,?,1,2,13,4,1,11,8,1,1,1,4,8,?,?,?,3,6,15,13,9,9,1,13,15,3,6,9,?,8,1,11,7,7,4,10,1,?,10,11,?,?,?,1,?,1,11,?,?,6,3,21,6,9,1,9,3,10,4,?,?,?,4,?,9,?,20,?,?
Mbula_Jarawan,1,1,11,13,?,1,2,2,1,1,8,7,16,1,14,18,?,1,1,1,1,1,3,4,2,?,?,7,10,12,9,?,1,2,13,4,1,?,8,1,1,1,5,8,?,?,?,3,6,?,14,9,9,14,12,15,3,6,9,?,8,1,11,7,7,4,1,7,?,10,11,?,?,?,1,?,1,12,1,?,?,3,21,6,9,1,9,3,10,1,?,?,?,4,?,9,?,20,?,?
Bile_Jarawan,1,1,10,12,?,16,15,2,1,1,8,7,16,?,15,21,?,1,7,1,1,1,3,?,6,?,?,7,10,12,9,?,1,2,16,4,1,?,8,1,1,1,6,8,?,?,?,3,6,?,15,9,9,6,12,15,5,6,9,?,8,1,11,1,7,4,1,8,?,10,11,?,?,?,1,?,1,11,?,?,?,3,20,6,9,1,9,3,10,1,?,?,?,4,?,9,?,20,?,?
Kulung_Jarawan,1,1,15,12,?,1,2,2,1,1,8,7,18,?,2,18,?,1,1,1,1,1,3,?,2,?,?,7,10,7,9,?,1,2,16,4,10,?,8,1,1,1,5,8,?,?,?,6,6,?,16,9,9,1,5,15,3,6,9,?,8,1,11,1,7,4,1,1,?,10,12,?,?,?,6,?,1,11,?,?,?,3,22,6,9,1,9,3,10,1,?,?,?,4,?,9,?,20,?,?
Duguri_Jarawan,1,1,10,12,?,1,2,2,1,1,8,7,?,?,16,18,?,1,6,1,1,1,3,?,2,?,?,7,10,7,9,?,1,1,16,4,1,?,8,1,1,1,5,8,?,?,?,3,6,?,17,9,9,1,14,16,10,6,5,?,8,1,11,8,7,4,11,?,?,10,11,?,?,?,1,?,1,11,?,?,?,3,22,6,9,1,9,3,10,1,?,?,?,4,?,10,?,20,?,?
A71_Eton,2,4,14,2,5,1,7,2,1,1,3,1,10,1,5,22,2,1,1,1,3,1,3,4,2,4,1,4,12,7,8,11,9,1,13,4,1,9,2,1,1,1,1,1,1,1,2,3,3,11,11,4,1,5,5,13,1,9,5,5,7,4,5,1,2,1,1,1,5,10,1,1,5,2,1,7,1,9,1,?,4,2,14,1,1,2,1,1,1,1,9,16,2,8,?,4,11,18,17,8
A72a_Ewondo,2,4,10,7,5,1,7,2,1,1,3,1,10,2,5,21,2,1,1,1,3,1,3,?,2,4,1,4,12,7,8,12,9,1,13,3,11,9,2,10,1,1,1,7,1,1,2,3,3,11,11,4,1,5,5,13,1,6,5,5,7,4,5,1,2,1,1,1,5,10,1,1,5,2,1,7,1,7,1,1,4,2,5,12,1,2,1,1,1,1,9,17,2,8,2,4,11,18,18,8
A74a_Bulu,2,1,10,7,5,1,7,2,1,1,3,1,10,1,5,21,2,1,1,1,3,1,3,4,2,4,1,4,3,7,8,12,9,1,13,3,1,9,2,4,1,1,1,7,1,1,?,3,3,11,11,4,8,5,5,13,1,6,5,?,7,4,5,1,2,1,1,1,5,10,1,1,?,2,1,7,1,7,1,1,5,2,5,12,1,2,1,1,1,1,9,17,?,8,2,4,11,18,?,8
A75a_Fang_Bitam,2,4,10,7,5,1,7,2,1,1,3,1,10,1,5,21,2,1,1,1,3,1,3,4,2,4,1,4,13,7,8,12,9,1,13,3,1,9,2,4,1,1,1,7,1,1,2,3,3,11,11,4,8,5,5,13,1,6,5,5,7,4,5,1,2,1,1,1,5,10,1,1,5,2,1,7,1,7,1,1,5,2,5,12,1,2,1,1,1,1,9,17,2,8,6,4,11,18,19,8
A75a_Fang_Minvoul,2,4,10,?,5,1,7,2,1,1,3,1,10,1,5,21,2,1,1,1,3,1,3,4,2,4,1,4,13,7,8,12,9,1,13,3,11,?,2,4,1,1,1,7,1,1,2,3,3,11,11,4,8,5,5,13,1,6,5,5,7,4,5,1,2,1,1,1,5,10,1,1,5,2,1,7,1,7,1,1,5,2,5,12,1,2,1,1,1,1,9,17,2,8,6,4,11,18,19,8
A75a_Fang_Medouneu,2,4,?,?,5,1,7,?,1,1,3,1,10,1,5,21,2,1,1,1,3,1,3,4,2,4,1,4,14,7,8,?,9,1,13,3,11,?,2,4,1,1,1,?,1,1,2,3,3,11,11,4,8,5,5,13,1,6,?,?,7,4,?,?,2,1,1,1,5,10,1,1,?,2,1,?,1,7,1,?,5,2,?,12,1,2,1,1,1,1,9,17,2,8,6,4,11,?,19,8
