Words,W2,W3,W4,W5,W6,W7,W8,W9,W10,W12,W14,W15,W16,W18,W20,W22,W23,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W46,W48,W49,W50,W51,W52,W54,W55,W56,W58,W60,W61,W62,W63,W64,W65,W66,W68,W69,W70,W72,W73,W74,W75,W76,W77,W78,W79,W81,W83,W84,W86,W87,W89,W90,W91,W92,W93,W94,W95,W97,W98,W99,W100,W101,W103,W105,W106,W107,W108,W109,W110,W111,W112,W113,W114,W115,W117,W119,W123,W125,W24,W59
français,animal,bras,cendre,écorce,lit,ventre,grand,oiseau,mordre,sang,os,sein,brûler (tr.),enfant,nuage,venir,compter,mourir,chien,boire,oreille,manger,œuf,éléphant,œil,visage,tomber,graisse,plume,ongle,feu,bois à brûler,poisson,cinq,voler,quatre,donner,chèvre,terre/sol,cheveu,tête,entendre,cœur,corne,maison,faim,intestin,tuer,genou,couteau,savoir,feuille,jambe,foie,pou,homme,lune,bouche,nom,nombril,cou,nuit,nez,un,personne,pluie,chemin,racine (gros),sel,sable,voir,envoyer,honte,chanter,peau,ciel,sommeil,fumée,serpent,lance,dérober,pierre,soleil,queue,dix,trois,langue,dent,arbre,deux,urine,village,vomir,marcher,guerre,eau,vent,femme,rosée,fer
anglais,animal,arm,ashes,bark,bed,belly,big,bird,bite,blood,bone,breast,burn,child,cloud,come,count,die,dog,drink,ear,eat,egg,elephant,eye,face,fall,"fat, oil",feather,fingernail,fire,fire-wood,fish,five,fly,four,give,goat,"ground, soil",hair,head,hear,heart,horn,house,hunger,intestine,kill,knee,knife,know,leaf,leg,liver,louse,man,moon,mouth,name,navel,neck,night,nose,one,person,rain,road/path,root,salt,sand,see,send,shame,sing,skin,sky,sleep,smoke,snake,spear,steal,stone,sun,tail,ten,three,tongue,tooth,tree,two,urine,village,vomit,walk,war,water,wind,woman,dew,iron
Fefe_Grassfields,1,1,1,1,1,1,?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,?,1,1,1,1,?,1,1,1,1,1,1,1,1,?,1,1,1,1,1,?,?,1,1,1,1,1,1,1,1,1,1,1,1,1,?,1,1,?,1,1,?,1,?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,?,1,1,1,1,1,1,1
Mungaka_Grassfields,1,1,1,1,1,1,?,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,?,1,1,1,1,1,1,1,1,1,1,1,1,2,?,2,1,1,1,1,?,1,1,1,1,1,1,2,2,1,1,1,?,1,2,?,1,1,1,1,1,1,1,?,1,1,1,2,1,2,1,1,1,1,1,1,1,1,?,2,2,1,1,2,2,1
Bamun_Grassfields,1,1,1,1,1,1,?,1,1,1,1,1,1,1,2,3,2,1,1,1,2,1,1,1,2,1,?,1,1,1,1,1,1,1,?,1,1,1,1,1,1,1,1,1,1,1,1,2,?,2,1,1,1,1,?,1,2,1,1,1,2,1,1,1,1,1,1,1,2,?,1,?,2,1,1,2,1,?,1,1,1,2,1,1,1,1,1,1,1,1,1,1,?,?,2,2,1,2,1,2
Kom_Grassfields,1,2,1,1,1,2,?,2,1,2,2,2,3,1,2,4,2,1,1,1,1,2,2,2,2,2,2,1,2,?,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,?,1,1,2,1,2,3,1,1,1,1,1,1,1,2,2,1,1,1,?,1,1,?,2,?,3,?,1,2,1,2,2,2,1,1,1,1,1,2,1,2,2,?,?,3,3,1,3,1,3
Oku_Grassfields,1,2,2,?,1,2,?,2,1,2,2,2,3,1,2,4,2,1,1,1,1,2,2,2,2,2,2,1,2,?,2,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,?,1,1,1,?,2,3,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,?,2,1,3,?,1,3,1,2,2,2,1,1,1,1,1,2,1,2,2,?,?,?,3,1,3,3,3
Aghem_Grassfields,1,2,3,?,2,3,?,2,1,3,2,2,3,1,2,5,2,1,1,1,1,2,2,3,2,2,3,1,2,?,2,2,1,1,2,2,1,2,2,1,1,1,2,1,2,1,2,1,2,2,2,1,1,3,?,3,3,2,1,1,1,1,1,1,2,2,1,1,3,1,2,1,?,1,?,4,?,2,3,1,2,2,3,1,1,1,1,1,2,1,2,3,?,?,4,3,1,3,1,4
Njen_Grassfields,1,1,4,?,1,1,?,2,?,4,1,1,?,1,2,?,?,?,1,?,1,?,1,1,3,1,?,1,2,2,2,1,1,1,?,1,?,3,1,2,1,?,1,1,1,1,?,?,2,1,?,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,?,1,1,?,?,?,3,?,1,3,?,1,4,1,?,3,1,1,1,1,1,1,3,1,1,4,?,?,2,4,?,3,?,1
Moghamo_Grassfields,1,1,5,?,3,1,?,2,?,4,1,1,?,1,2,?,?,?,1,?,1,?,1,1,3,3,?,1,2,3,2,1,1,1,?,1,?,3,?,1,1,?,2,1,1,1,?,?,2,1,?,1,1,1,3,1,4,1,3,1,3,3,1,1,2,1,?,1,1,?,?,?,4,?,1,5,?,1,3,1,?,3,1,1,1,1,1,1,3,1,?,4,?,?,2,4,2,4,1,1
